hour,Technology,value
1,demand,4834.108621688991
2,demand,4675.022638681862
3,demand,4582.597881412101
4,demand,4523.577533407546
5,demand,4496.025740263449
6,demand,5128.5648386224075
7,demand,5935.790712921192
8,demand,6522.268631031656
9,demand,6559.36754217089
10,demand,6419.858622689326
11,demand,6276.062005956233
12,demand,6157.607672276708
13,demand,6144.043969031232
14,demand,6129.664281342557
15,demand,6160.332732113873
16,demand,6528.8256752041125
17,demand,6974.134528326829
18,demand,6904.291316710069
19,demand,6794.2131722802005
20,demand,6614.739199387161
21,demand,6304.750434762762
22,demand,5918.177145526589
23,demand,5620.811980366386
24,demand,5274.28864361177
25,demand,5527.099274665585
26,demand,5421.049857507106
27,demand,5382.434299261998
28,demand,5415.265232495132
29,demand,5639.154886348173
30,demand,6593.523935755819
31,demand,7488.051465694259
32,demand,8055.060336481514
33,demand,8072.975862765161
34,demand,7809.363593223588
35,demand,7540.835530718314
36,demand,7302.147847228505
37,demand,7203.4645078101385
38,demand,7116.002744681512
39,demand,7097.145588176308
40,demand,7489.541223240595
41,demand,7963.928049458635
42,demand,7943.794392230942
43,demand,7819.7928836534065
44,demand,7597.06878115057
45,demand,7215.927965561663
46,demand,6770.392884796209
47,demand,6372.9131806877085
48,demand,5953.058272673721
49,demand,5985.722664305099
50,demand,5842.083179061777
51,demand,5806.762104701769
52,demand,5876.106626700654
53,demand,6155.354600222606
54,demand,7258.233344004576
55,demand,8266.20471496899
56,demand,8814.345339810578
57,demand,8751.46441384706
58,demand,8432.474004760621
59,demand,8019.957478722788
60,demand,7719.976206395914
61,demand,7629.044953997389
62,demand,7530.077610317383
63,demand,7542.3760656961
64,demand,7937.270973793655
65,demand,8384.979548060273
66,demand,8370.914715914445
67,demand,8196.523904970325
68,demand,7907.236356387037
69,demand,7409.73128144269
70,demand,6816.929721183941
71,demand,6407.701978420861
72,demand,5950.619379227293
73,demand,5385.945329419532
74,demand,5219.038692676704
75,demand,5134.159046325545
76,demand,5174.464467984173
77,demand,5440.330638029784
78,demand,6465.360846994841
79,demand,7390.304099611772
80,demand,7862.802773891068
81,demand,7774.417810395296
82,demand,7576.188976072097
83,demand,7299.853968029687
84,demand,7077.36701939116
85,demand,6957.7937105424335
86,demand,6837.239394852638
87,demand,6826.8800677197905
88,demand,7116.633796041384
89,demand,7504.9016749924995
90,demand,7417.611531226517
91,demand,7243.213635070304
92,demand,6972.100556150342
93,demand,6553.227159247896
94,demand,6042.451367272
95,demand,5648.405438725137
96,demand,5234.344678558683
97,demand,5101.2009392977125
98,demand,4970.829728953355
99,demand,4921.153585514475
100,demand,4989.459118915995
101,demand,5256.382226284477
102,demand,6257.85740595874
103,demand,7176.248095595003
104,demand,7664.130842577154
105,demand,7577.6182151475095
106,demand,7349.215130691845
107,demand,6992.742384272444
108,demand,6652.705381579843
109,demand,6481.658908687796
110,demand,6383.028013387744
111,demand,6441.943357880064
112,demand,6841.896083905089
113,demand,7374.438341021268
114,demand,7393.123358503012
115,demand,7269.761952896533
116,demand,7067.737633314557
117,demand,6752.393976809587
118,demand,6369.267508694601
119,demand,6113.504750998054
120,demand,5687.782364828356
121,demand,5684.640026081668
122,demand,5533.006296785061
123,demand,5466.898947897635
124,demand,5399.396054930379
125,demand,5297.984317548782
126,demand,5904.460860392444
127,demand,6674.323438038433
128,demand,7226.820225706388
129,demand,7252.015633040194
130,demand,7127.715933893851
131,demand,6879.607587126331
132,demand,6589.02141881854
133,demand,6460.7483745626705
134,demand,6406.13587621512
135,demand,6446.025576727795
136,demand,6707.560232238622
137,demand,7158.102718917198
138,demand,7136.260875162596
139,demand,6989.461152045384
140,demand,6784.199731539344
141,demand,6462.888892276551
142,demand,6078.27779181841
143,demand,5744.322785653074
144,demand,5348.882391640991
145,demand,4955.934302091759
146,demand,4790.697069816562
147,demand,4679.934934286963
148,demand,4597.118208697588
149,demand,4514.554519142487
150,demand,5101.527462471815
151,demand,5863.4854075671155
152,demand,6419.651627059015
153,demand,6465.0832189030625
154,demand,6410.6427680179
155,demand,6259.807281021605
156,demand,6078.570096419478
157,demand,6040.314814387214
158,demand,6090.48315766274
159,demand,6233.030237983739
160,demand,6560.162619827787
161,demand,7036.508594032258
162,demand,7059.968417288548
163,demand,6924.060653782383
164,demand,6661.719776476501
165,demand,6275.648380718158
166,demand,5874.43540886718
167,demand,5557.088431484249
168,demand,5221.166897886298
169,demand,5124.860185789408
170,demand,5028.28849312198
171,demand,5011.690522946881
172,demand,5043.529962524098
173,demand,5324.246417460628
174,demand,6413.882135407435
175,demand,7402.6619010272425
176,demand,7908.68466076097
177,demand,7894.958104401301
178,demand,7779.80157700519
179,demand,7611.344507192836
180,demand,7428.67211854075
181,demand,7424.838502364497
182,demand,7415.509996433586
183,demand,7423.119411391715
184,demand,7666.380568010324
185,demand,8059.348171021578
186,demand,8002.63756404625
187,demand,7846.926668521444
188,demand,7584.996241224064
189,demand,7161.00296426111
190,demand,6633.569162895907
191,demand,6281.980033625756
192,demand,5880.647109100866
193,demand,5888.460436774056
194,demand,5777.433248990319
195,demand,5750.009927442033
196,demand,5823.67770393874
197,demand,6105.621823594514
198,demand,7166.104838092519
199,demand,8127.227305914562
200,demand,8642.49418805905
201,demand,8597.325989961628
202,demand,8340.287484100572
203,demand,8008.880537979506
204,demand,7764.196683716251
205,demand,7689.42809228525
206,demand,7580.0404320691305
207,demand,7512.604133041759
208,demand,7798.083412503647
209,demand,8317.43290771211
