,pv_aggregated_capacity_factor,onshore_aggregated_capacity_factor,offshore_aggregated_capacity_factor,Date,aggregated_demand,T
0,0.0,0.7792462,0.8918492,2030-01-01 00:00:00,4834.108621688991,1
1,0.0,0.8131993999999999,0.9134115999999999,2030-01-01 01:00:00,4675.022638681862,2
2,0.0,0.8380574,0.9246696,2030-01-01 02:00:00,4582.597881412101,3
3,0.0,0.8610925999999999,0.9376827999999999,2030-01-01 03:00:00,4523.577533407546,4
4,0.0,0.884924,0.9512623999999998,2030-01-01 04:00:00,4496.025740263449,5
5,0.0,0.900207,0.9561406,2030-01-01 05:00:00,5128.5648386224075,6
6,0.0,0.9069811999999999,0.9556511999999999,2030-01-01 06:00:00,5935.790712921192,7
7,0.0,0.9146402,0.9554022,2030-01-01 07:00:00,6522.268631031656,8
8,0.014,0.9239042,0.9603918,2030-01-01 08:00:00,6559.36754217089,9
9,0.067,0.9337177999999999,0.9663769999999999,2030-01-01 09:00:00,6419.858622689326,10
10,0.13,0.9427299999999998,0.9703374,2030-01-01 10:00:00,6276.062005956233,11
11,0.141,0.9499331999999999,0.9716136000000001,2030-01-01 11:00:00,6157.607672276708,12
12,0.121,0.9525277999999998,0.9718747999999999,2030-01-01 12:00:00,6144.043969031232,13
13,0.054,0.9511834,0.9712723999999999,2030-01-01 13:00:00,6129.664281342557,14
14,0.005,0.9466564,0.9690919999999998,2030-01-01 14:00:00,6160.332732113873,15
15,0.0,0.9363281999999999,0.9653129999999999,2030-01-01 15:00:00,6528.8256752041125,16
16,0.0,0.9191504,0.9605612000000001,2030-01-01 16:00:00,6974.134528326829,17
17,0.0,0.8995637999999999,0.9541498,2030-01-01 17:00:00,6904.291316710069,18
18,0.0,0.8815582,0.9455226,2030-01-01 18:00:00,6794.2131722802005,19
19,0.0,0.8707918000000001,0.9362554,2030-01-01 19:00:00,6614.739199387161,20
20,0.0,0.8627236,0.9297048,2030-01-01 20:00:00,6304.750434762762,21
21,0.0,0.8624096,0.9333494,2030-01-01 21:00:00,5918.177145526589,22
22,0.0,0.8649204000000001,0.9377724000000001,2030-01-01 22:00:00,5620.811980366386,23
23,0.0,0.8663152000000001,0.9388736,2030-01-01 23:00:00,5274.28864361177,24
24,0.0,0.8618366,0.9372465999999999,2030-01-02 00:00:00,5527.099274665585,25
25,0.0,0.8492642,0.9252480000000001,2030-01-02 01:00:00,5421.049857507106,26
