,pv_aggregated_capacity_factor,onshore_aggregated_capacity_factor,offshore_aggregated_capacity_factor,Date,aggregated_demand
0,0.0,0.4195704,0.5648962000000001,2030-01-01 00:00:00,4785.232331850428
1,0.0,0.435601,0.5828244,2030-01-01 01:00:00,4636.829839956198
2,0.0,0.4488542,0.6067024,2030-01-01 02:00:00,4549.222498520701
3,0.0,0.4640072,0.6366652,2030-01-01 03:00:00,4497.157489084534
4,0.0,0.4884218000000001,0.6646546,2030-01-01 04:00:00,4539.8755403091
5,0.0,0.5095312,0.6827576,2030-01-01 05:00:00,5207.372860954831
6,0.0,0.5613796,0.7139446,2030-01-01 06:00:00,6028.899580159024
7,0.0,0.606104,0.7398214000000001,2030-01-01 07:00:00,6578.894022329313
8,0.002,0.612328,0.7420268000000001,2030-01-01 08:00:00,6593.513991478225
9,0.004,0.6002175999999999,0.7323867999999999,2030-01-01 09:00:00,6494.01272295831
10,0.011,0.5974534,0.7316182,2030-01-01 10:00:00,6406.764568098257
11,0.014,0.6038884,0.7352018,2030-01-01 11:00:00,6269.77828041377
12,0.007,0.617416,0.7385624,2030-01-01 12:00:00,6267.115756617133
13,0.001,0.6264491999999999,0.7464878,2030-01-01 13:00:00,6261.0845168086635
14,0.0,0.6319130000000001,0.763005,2030-01-01 14:00:00,6276.126850230456
15,0.0,0.6478926,0.7762534,2030-01-01 15:00:00,6496.542560953215
16,0.0,0.6786252,0.7968004000000001,2030-01-01 16:00:00,6870.1441342450635
17,0.0,0.7101274,0.8280632000000001,2030-01-01 17:00:00,6825.998842382638
18,0.0,0.7422136,0.853912,2030-01-01 18:00:00,6753.8666271631155
19,0.0,0.7827898,0.8740653999999999,2030-01-01 19:00:00,6594.257793115703
20,0.0,0.815885,0.8929822,2030-01-01 20:00:00,6294.072776116776
21,0.0,0.8402483999999999,0.9094317999999999,2030-01-01 21:00:00,5914.132450641209
22,0.0,0.8579032,0.9214500000000001,2030-01-01 22:00:00,5614.673914277001
23,0.0,0.8741744,0.933412,2030-01-01 23:00:00,5267.864005368988
24,0.0,0.8850262000000001,0.9428545999999999,2030-01-02 00:00:00,5223.819473998741
25,0.0,0.8943794,0.9478302,2030-01-02 01:00:00,5062.354805864194
26,0.0,0.9072144000000002,0.9521428000000001,2030-01-02 02:00:00,4952.595218827544
27,0.0,0.9153515999999999,0.9592896,2030-01-02 03:00:00,4904.079940158635
28,0.0,0.9198992,0.9634427999999999,2030-01-02 04:00:00,5018.735283796688
29,0.0,0.9271108,0.9653414,2030-01-02 05:00:00,5827.728736634936
30,0.0,0.9324456,0.9676859999999999,2030-01-02 06:00:00,6690.158097073614
31,0.0,0.932418,0.9700858,2030-01-02 07:00:00,7248.078165182022
32,0.006,0.9283608000000001,0.9710620000000001,2030-01-02 08:00:00,7264.064920116702
33,0.028,0.9208802,0.9728030000000001,2030-01-02 09:00:00,7189.046932864099
34,0.055,0.9202581999999999,0.9741144,2030-01-02 10:00:00,7038.6210320366035
35,0.068,0.9215030000000001,0.9737436,2030-01-02 11:00:00,6918.714865652601
36,0.057,0.9225562,0.9744858000000001,2030-01-02 12:00:00,6843.397270012161
37,0.023,0.9179938,0.9730437999999999,2030-01-02 13:00:00,6840.735353565582
38,0.001,0.9104572,0.9697549999999999,2030-01-02 14:00:00,6862.010632246833
39,0.0,0.9006808,0.9645292000000001,2030-01-02 15:00:00,7156.95146305153
40,0.0,0.894503,0.9598988,2030-01-02 16:00:00,7537.065621767146
41,0.0,0.8913312,0.9587318,2030-01-02 17:00:00,7448.476818066818
42,0.0,0.8849322000000001,0.9589725999999998,2030-01-02 18:00:00,7282.821061960733
43,0.0,0.8785882,0.9590076,2030-01-02 19:00:00,7039.303793735913
44,0.0,0.8759902,0.957785,2030-01-02 20:00:00,6671.017155734064
45,0.0,0.8778806000000001,0.9591874,2030-01-02 21:00:00,6252.55107008339
46,0.0,0.8821595999999999,0.9612008,2030-01-02 22:00:00,5891.828765291396
47,0.0,0.8920438,0.9606818,2030-01-02 23:00:00,5528.679458169676
48,0.0,0.906112,0.9635184000000001,2030-01-03 00:00:00,5580.60402511823
49,0.0,0.906597,0.9607706,2030-01-03 01:00:00,5449.743352516959
50,0.0,0.8874592,0.9501078,2030-01-03 02:00:00,5381.574116261283
51,0.0,0.853393,0.932507,2030-01-03 03:00:00,5430.063754307441
52,0.0,0.8139913999999999,0.9134321999999999,2030-01-03 04:00:00,5695.641605704212
53,0.0,0.7749758,0.8934136,2030-01-03 05:00:00,6717.833077213421
54,0.0,0.733682,0.870588,2030-01-03 06:00:00,7616.7569798729255
55,0.0,0.6888411999999999,0.8492268,2030-01-03 07:00:00,8133.479943010855
56,0.006,0.6588778,0.8322461999999999,2030-01-03 08:00:00,8033.96675732575
57,0.026,0.6416072,0.818759,2030-01-03 09:00:00,7824.515408220905
58,0.048,0.6272586,0.8033742,2030-01-03 10:00:00,7512.4177739080515
59,0.063,0.6153742,0.7932710000000001,2030-01-03 11:00:00,7262.499865906841
60,0.06,0.5935098,0.7793227999999999,2030-01-03 12:00:00,7180.9793953060025
61,0.026,0.5700362,0.767207,2030-01-03 13:00:00,7098.782977154469
62,0.002,0.5550658,0.7516634,2030-01-03 14:00:00,7077.292434194573
63,0.0,0.5277696,0.7331762000000001,2030-01-03 15:00:00,7366.698963648712
64,0.0,0.5086524,0.7154732,2030-01-03 16:00:00,7819.393343153519
65,0.0,0.5064282,0.6976720000000001,2030-01-03 17:00:00,7750.398089205077
66,0.0,0.510034,0.6839495999999999,2030-01-03 18:00:00,7584.054289830687
67,0.0,0.5223853999999999,0.6875736,2030-01-03 19:00:00,7327.42259671295
68,0.0,0.5265042,0.6930774,2030-01-03 20:00:00,6898.271251886365
69,0.0,0.5315092,0.6942038,2030-01-03 21:00:00,6396.075831309838
70,0.0,0.5310208,0.6998462,2030-01-03 22:00:00,6026.011607421811
71,0.0,0.5232224000000001,0.7007272,2030-01-03 23:00:00,5638.379209914122
72,0.0,0.521245,0.7045218,2030-01-04 00:00:00,5555.4743415131015
73,0.0,0.5284694,0.7121029999999999,2030-01-04 01:00:00,5447.5007410700455
74,0.0,0.5360858,0.7169169999999999,2030-01-04 02:00:00,5414.067647386268
75,0.0,0.532888,0.7099396,2030-01-04 03:00:00,5470.580841811798
76,0.0,0.5268664,0.7032942,2030-01-04 04:00:00,5745.613851086618
77,0.0,0.5310306,0.7034846,2030-01-04 05:00:00,6781.423221237323
78,0.0,0.5384735999999999,0.7040596,2030-01-04 06:00:00,7735.252983547124
79,0.0,0.5415606000000001,0.6966637999999998,2030-01-04 07:00:00,8249.198534100728
80,0.062,0.5267327999999999,0.6850606,2030-01-04 08:00:00,8036.053930580225
81,0.177,0.4925246,0.6673387999999999,2030-01-04 09:00:00,7759.191707162476
82,0.226,0.4684514,0.6514367999999999,2030-01-04 10:00:00,7457.97734377522
83,0.213,0.44737859999999996,0.6394080000000001,2030-01-04 11:00:00,7216.191217057834
84,0.156,0.4395656,0.6316866,2030-01-04 12:00:00,7111.067277247435
85,0.079,0.43826679999999996,0.6223538000000001,2030-01-04 13:00:00,6996.239891014704
86,0.011,0.4355538,0.6072808,2030-01-04 14:00:00,6979.966637322259
87,0.0,0.4304854000000001,0.5855157999999999,2030-01-04 15:00:00,7325.853740450535
88,0.0,0.4122356,0.565151,2030-01-04 16:00:00,7795.398244212971
89,0.0,0.3933384,0.5561956,2030-01-04 17:00:00,7741.822839843731
90,0.0,0.3740668,0.5631923999999999,2030-01-04 18:00:00,7558.788447964784
91,0.0,0.3570776,0.5752360000000001,2030-01-04 19:00:00,7285.272809035168
92,0.0,0.3405978,0.5801488,2030-01-04 20:00:00,6843.793931913238
93,0.0,0.3309878,0.5806495999999999,2030-01-04 21:00:00,6320.516235786861
94,0.0,0.33428620000000003,0.5666248,2030-01-04 22:00:00,5923.495206200442
95,0.0,0.34291440000000006,0.5287184,2030-01-04 23:00:00,5498.930387823116
96,0.0,0.34430879999999997,0.48953579999999997,2030-01-05 00:00:00,5243.5769625044995
97,0.0,0.3339596,0.448944,2030-01-05 01:00:00,5078.3982802934315
98,0.0,0.32508000000000004,0.4230534,2030-01-05 02:00:00,5020.098386997794
99,0.0,0.3020988,0.4020424,2030-01-05 03:00:00,5043.044599351189
100,0.0,0.2737142,0.37195239999999996,2030-01-05 04:00:00,5282.185489153342
101,0.0,0.24536719999999995,0.3389192,2030-01-05 05:00:00,6302.947969764853
102,0.0,0.2054356,0.29737779999999997,2030-01-05 06:00:00,7238.012340365944
103,0.0,0.17019640000000003,0.2561514,2030-01-05 07:00:00,7734.041306504358
104,0.004,0.1460928,0.22203979999999998,2030-01-05 08:00:00,7672.568750647399
105,0.015,0.1255192,0.20084580000000002,2030-01-05 09:00:00,7496.65560719174
106,0.022,0.10119820000000002,0.1796438,2030-01-05 10:00:00,7256.090453177554
107,0.021,0.083678,0.1615406,2030-01-05 11:00:00,6961.8261813364825
108,0.013,0.0699626,0.144689,2030-01-05 12:00:00,6789.63297569301
109,0.006,0.059975000000000014,0.1290218,2030-01-05 13:00:00,6686.798200949528
110,0.0,0.052867,0.11528000000000001,2030-01-05 14:00:00,6683.724879223504
111,0.0,0.0494046,0.10682640000000002,2030-01-05 15:00:00,6918.926193896441
112,0.0,0.0492306,0.10314680000000001,2030-01-05 16:00:00,7337.241405353747
113,0.0,0.050868800000000006,0.10118419999999999,2030-01-05 17:00:00,7327.524843468753
114,0.0,0.0545568,0.10009399999999999,2030-01-05 18:00:00,7147.199536474096
115,0.0,0.061877400000000006,0.10205659999999998,2030-01-05 19:00:00,6913.806533267911
116,0.0,0.072407,0.107963,2030-01-05 20:00:00,6561.470402812432
117,0.0,0.0835024,0.11830080000000001,2030-01-05 21:00:00,6126.673624843352
118,0.0,0.093154,0.1327258,2030-01-05 22:00:00,5792.143363978211
119,0.0,0.10200279999999999,0.1493432,2030-01-05 23:00:00,5367.969891401082
120,0.0,0.10894759999999999,0.1650484,2030-01-06 00:00:00,5265.8347595506875
121,0.0,0.11784320000000001,0.17951440000000002,2030-01-06 01:00:00,5086.795861307424
122,0.0,0.1303548,0.19899680000000003,2030-01-06 02:00:00,4977.083447311924
123,0.0,0.1443786,0.2242764,2030-01-06 03:00:00,4882.181883320565
124,0.0,0.16467199999999999,0.25910659999999996,2030-01-06 04:00:00,4809.895512255476
125,0.0,0.1942378,0.3039424,2030-01-06 05:00:00,5424.854232761054
126,0.0,0.22274600000000003,0.35108039999999996,2030-01-06 06:00:00,6190.201291882506
127,0.0,0.2553686,0.39097740000000003,2030-01-06 07:00:00,6757.4146477594795
128,0.005,0.28786860000000003,0.43088040000000005,2030-01-06 08:00:00,6805.039327556549
129,0.018,0.3045938,0.45608699999999996,2030-01-06 09:00:00,6761.470016630015
130,0.028,0.31578059999999997,0.4739276,2030-01-06 10:00:00,6640.550106982069
131,0.029,0.3194394,0.482423,2030-01-06 11:00:00,6476.287183238958
132,0.021,0.3393394,0.49729619999999997,2030-01-06 12:00:00,6433.220590484309
133,0.009,0.341275,0.5294968,2030-01-06 13:00:00,6445.167312461983
134,0.0,0.356587,0.5610946,2030-01-06 14:00:00,6499.260587252602
135,0.0,0.39922040000000003,0.6073194,2030-01-06 15:00:00,6718.139723285936
136,0.0,0.43848560000000003,0.6520058000000001,2030-01-06 16:00:00,7141.98709914764
137,0.0,0.484183,0.6900616,2030-01-06 17:00:00,7146.575462242575
138,0.0,0.5304420000000001,0.7026468000000001,2030-01-06 18:00:00,7021.816432045967
139,0.0,0.543556,0.6843514,2030-01-06 19:00:00,6865.278064838349
140,0.0,0.5367908,0.6682319999999999,2030-01-06 20:00:00,6575.376441139149
141,0.0,0.5091688000000001,0.6311818,2030-01-06 21:00:00,6228.120666235599
142,0.0,0.4649506,0.5814406,2030-01-06 22:00:00,5908.30969890206
143,0.0,0.3955956,0.5709042,2030-01-06 23:00:00,5523.2758087264665
144,0.0,0.3374426,0.5778976,2030-01-07 00:00:00,5262.095206711664
145,0.0,0.33438080000000003,0.5717760000000001,2030-01-07 01:00:00,5105.0171114185305
146,0.0,0.3401646,0.5374574,2030-01-07 02:00:00,4976.554483347974
147,0.0,0.33628739999999996,0.4941976,2030-01-07 03:00:00,4834.17512567941
148,0.0,0.3275762,0.45526540000000004,2030-01-07 04:00:00,4730.140887748697
149,0.0,0.3269308000000001,0.439253,2030-01-07 05:00:00,5311.356286983995
150,0.0,0.33561279999999993,0.447382,2030-01-07 06:00:00,6044.739928072311
151,0.0,0.3414102,0.46031500000000003,2030-01-07 07:00:00,6604.238863743238
152,0.032,0.3360686,0.46861499999999995,2030-01-07 08:00:00,6664.310499586021
153,0.118,0.31816380000000005,0.4641476000000001,2030-01-07 09:00:00,6523.172883868414
154,0.195,0.296739,0.45366219999999996,2030-01-07 10:00:00,6264.422940232065
155,0.189,0.2842158,0.449533,2030-01-07 11:00:00,6038.275617342775
156,0.13,0.29397759999999995,0.4507256,2030-01-07 12:00:00,5950.538749951098
157,0.057,0.2970714,0.44887740000000004,2030-01-07 13:00:00,5961.180023460634
158,0.005,0.30764559999999996,0.46193799999999996,2030-01-07 14:00:00,6056.739691830251
159,0.0,0.3177458,0.49571639999999995,2030-01-07 15:00:00,6464.299980834659
160,0.0,0.33214940000000004,0.5388390000000001,2030-01-07 16:00:00,7017.009961749579
161,0.0,0.37174219999999997,0.5809792,2030-01-07 17:00:00,7047.489207829912
162,0.0,0.4134278,0.6146656,2030-01-07 18:00:00,6914.803588295911
163,0.0,0.460137,0.648102,2030-01-07 19:00:00,6692.92493845172
164,0.0,0.5170108000000001,0.6807640000000001,2030-01-07 20:00:00,6371.776928190692
165,0.0,0.5727987999999999,0.7172144,2030-01-07 21:00:00,6002.384156364036
166,0.0,0.6296286,0.7521869999999999,2030-01-07 22:00:00,5719.666192741812
167,0.0,0.6888232,0.7913734,2030-01-07 23:00:00,5405.662131988203
168,0.0,0.7230483999999999,0.8124993999999999,2030-01-08 00:00:00,5151.643709011054
169,0.0,0.7441144000000001,0.823958,2030-01-08 01:00:00,5074.472545469337
170,0.0,0.7500237999999999,0.8225448,2030-01-08 02:00:00,5057.539155747161
171,0.0,0.7318012,0.8103868000000001,2030-01-08 03:00:00,5120.298851373362
172,0.0,0.7165078000000001,0.7918132000000001,2030-01-08 04:00:00,5396.713507423141
173,0.0,0.6727224,0.766898,2030-01-08 05:00:00,6389.63793987574
174,0.0,0.6297080000000002,0.7372074000000001,2030-01-08 06:00:00,7258.9637354749475
175,0.0,0.6022730000000001,0.7120926000000001,2030-01-08 07:00:00,7667.078011376349
176,0.005,0.568026,0.6923272,2030-01-08 08:00:00,7559.292615573645
177,0.035,0.533767,0.6837226,2030-01-08 09:00:00,7398.675582759777
178,0.061,0.478618,0.6407640000000001,2030-01-08 10:00:00,7170.530229536184
179,0.059,0.4248698,0.6034942,2030-01-08 11:00:00,6959.268798743373
180,0.052,0.4132954,0.5951470000000001,2030-01-08 12:00:00,6897.618380869131
181,0.014,0.39401200000000003,0.5813108,2030-01-08 13:00:00,6816.218220094329
182,0.0,0.37134800000000007,0.5694432,2030-01-08 14:00:00,6785.353736208188
183,0.0,0.362153,0.5676768,2030-01-08 15:00:00,6997.6515483728
184,0.0,0.3566216,0.5684614,2030-01-08 16:00:00,7390.947285649231
185,0.0,0.3554336,0.5663608,2030-01-08 17:00:00,7316.839272634002
186,0.0,0.3656692,0.5753358000000001,2030-01-08 18:00:00,7167.623005268713
187,0.0,0.4116562,0.6156052,2030-01-08 19:00:00,6946.2753228906795
188,0.0,0.4555348,0.6543192000000001,2030-01-08 20:00:00,6578.161544997036
189,0.0,0.499001,0.6818046000000001,2030-01-08 21:00:00,6108.784370610903
190,0.0,0.5259560000000001,0.7068306000000001,2030-01-08 22:00:00,5749.080110518458
191,0.0,0.5538634,0.7172386,2030-01-08 23:00:00,5374.256148160969
192,0.0,0.5682726,0.7164165999999998,2030-01-09 00:00:00,5253.647822337581
193,0.0,0.5641142,0.7362658,2030-01-09 01:00:00,5150.055685977695
194,0.0,0.5648213999999999,0.7659065999999999,2030-01-09 02:00:00,5058.18652050739
195,0.0,0.5689363999999999,0.7648988,2030-01-09 03:00:00,5147.847109988275
196,0.0,0.5466814,0.7564788000000001,2030-01-09 04:00:00,5460.492903698686
197,0.0,0.593399,0.7916178,2030-01-09 05:00:00,6462.128186189466
198,0.0,0.6605684000000001,0.8313159999999999,2030-01-09 06:00:00,7472.3867249478935
199,0.0,0.7333324,0.8495754,2030-01-09 07:00:00,8025.227613506673
200,0.0,0.800225,0.8843005999999999,2030-01-09 08:00:00,7933.22298383698
201,0.014,0.8663487999999999,0.8806436,2030-01-09 09:00:00,7785.843073347508
202,0.035,0.9189938,0.90833,2030-01-09 10:00:00,7479.172187073504
203,0.039,0.9271098,0.9159824000000001,2030-01-09 11:00:00,7262.6657675480255
204,0.029,0.9285326000000002,0.9180252,2030-01-09 12:00:00,7177.215974190962
205,0.011,0.9160695999999999,0.909683,2030-01-09 13:00:00,7081.5593162177565
206,0.001,0.9084722000000001,0.9093752,2030-01-09 14:00:00,6986.099070077575
207,0.0,0.9004845999999999,0.9133578,2030-01-09 15:00:00,7187.646565773994
208,0.0,0.8779389999999999,0.9072442000000001,2030-01-09 16:00:00,7577.213618726862
209,0.0,0.8631336000000001,0.894408,2030-01-09 17:00:00,7489.139724795892
210,0.0,0.844025,0.8739274,2030-01-09 18:00:00,7306.780287435658
211,0.0,0.8017008000000001,0.8301544,2030-01-09 19:00:00,7073.857963367599
212,0.0,0.741913,0.7594078,2030-01-09 20:00:00,6700.158527408813
213,0.0,0.6686080000000001,0.6868725999999999,2030-01-09 21:00:00,6196.155638728772
214,0.0,0.5631684,0.6003062,2030-01-09 22:00:00,5690.160928165141
215,0.0,0.45233939999999995,0.49267320000000003,2030-01-09 23:00:00,5280.741784532133
216,0.0,0.3430892,0.415817,2030-01-10 00:00:00,5020.673294441672
217,0.0,0.2496804,0.390082,2030-01-10 01:00:00,4892.749458969679
218,0.0,0.21129799999999999,0.38506419999999997,2030-01-10 02:00:00,4843.459613715497
219,0.0,0.230393,0.4741388000000001,2030-01-10 03:00:00,4919.508032552034
220,0.0,0.33643140000000005,0.558509,2030-01-10 04:00:00,5232.7988727647935
221,0.0,0.4639398,0.62609,2030-01-10 05:00:00,6335.839875644261
222,0.0,0.5700012,0.7100618,2030-01-10 06:00:00,7289.452177612109
223,0.0,0.6998605999999999,0.77431,2030-01-10 07:00:00,7712.117795184144
224,0.0,0.7970324000000001,0.8323257999999999,2030-01-10 08:00:00,7559.784145343456
225,0.002,0.8552528,0.8837992,2030-01-10 09:00:00,7326.2640499865465
226,0.006,0.9085827999999999,0.9287320000000001,2030-01-10 10:00:00,7129.456070455724
227,0.012,0.9411851999999999,0.9499924,2030-01-10 11:00:00,7084.098209087872
228,0.021,0.9568325999999999,0.9612232,2030-01-10 12:00:00,7093.882409421878
229,0.022,0.9619156,0.9646906,2030-01-10 13:00:00,6976.83335515963
230,0.002,0.9624986,0.9649212,2030-01-10 14:00:00,6931.657850754321
231,0.0,0.9579704000000001,0.9633618,2030-01-10 15:00:00,7163.214469963741
232,0.0,0.9525146,0.9498768,2030-01-10 16:00:00,7700.977940176119
233,0.0,0.949296,0.9403157999999999,2030-01-10 17:00:00,7610.367876195235
234,0.0,0.951553,0.9433802,2030-01-10 18:00:00,7383.758500509301
235,0.0,0.9565542,0.9472844,2030-01-10 19:00:00,7084.347832719179
236,0.0,0.9588186000000001,0.951068,2030-01-10 20:00:00,6705.458305723697
237,0.0,0.9593069999999999,0.9530046000000001,2030-01-10 21:00:00,6250.056527693176
238,0.0,0.9594682000000001,0.9550878,2030-01-10 22:00:00,5941.892737360452
239,0.0,0.9564440000000001,0.9582838,2030-01-10 23:00:00,5621.052999482247
240,0.0,0.9481766,0.9615866000000001,2030-01-11 00:00:00,5655.272299698655
241,0.0,0.9359855999999999,0.9632847999999999,2030-01-11 01:00:00,5563.80932774881
242,0.0,0.9202172000000001,0.9624121999999999,2030-01-11 02:00:00,5533.2321542302925
243,0.0,0.904233,0.9607127999999999,2030-01-11 03:00:00,5587.782184635453
244,0.0,0.8881826,0.9574431999999999,2030-01-11 04:00:00,5851.910125666727
245,0.0,0.8717822,0.9543821999999998,2030-01-11 05:00:00,6897.254601458781
246,0.0,0.8586164000000001,0.9503896,2030-01-11 06:00:00,7838.983500723324
247,0.0,0.8489355999999999,0.945857,2030-01-11 07:00:00,8354.97709819338
248,0.008,0.8458606000000002,0.9436536,2030-01-11 08:00:00,8293.11621252641
249,0.034,0.8461974,0.9439502,2030-01-11 09:00:00,8066.704266378079
