,pv_aggregated_capacity_factor,onshore_aggregated_capacity_factor,offshore_aggregated_capacity_factor,Date,aggregated_demand
0,0.0,0.2318048,0.3276644,2030-01-01 00:00:00,6806.922363843849
1,0.0,0.24310320000000002,0.3430262,2030-01-01 01:00:00,6658.033554649657
2,0.0,0.25196120000000005,0.35035540000000004,2030-01-01 02:00:00,6603.474879490292
3,0.0,0.24500760000000002,0.3423622,2030-01-01 03:00:00,6589.097683116379
4,0.0,0.23279579999999997,0.3236266,2030-01-01 04:00:00,6656.570667728176
5,0.0,0.221236,0.30322820000000006,2030-01-01 05:00:00,7580.1591443532225
6,0.0,0.20942660000000002,0.2870532,2030-01-01 06:00:00,8591.224577823628
7,0.0,0.1930628,0.2745094,2030-01-01 07:00:00,9346.188652874956
8,0.073,0.1786604,0.2661432,2030-01-01 08:00:00,9396.910178117147
9,0.218,0.16120980000000001,0.2574182,2030-01-01 09:00:00,9141.150963404572
10,0.29,0.146097,0.251228,2030-01-01 10:00:00,8733.935318644235
11,0.285,0.1332506,0.23953280000000002,2030-01-01 11:00:00,8510.802268810376
12,0.214,0.12102059999999999,0.2211834,2030-01-01 12:00:00,8428.691375220058
13,0.109,0.1144842,0.20742540000000004,2030-01-01 13:00:00,8390.226771927044
14,0.014,0.1155276,0.2034536,2030-01-01 14:00:00,8431.624272068002
15,0.0,0.11765160000000001,0.2120034,2030-01-01 15:00:00,8745.267257271216
16,0.0,0.12364280000000001,0.22935540000000004,2030-01-01 16:00:00,9070.254933901153
17,0.0,0.1289056,0.24239680000000002,2030-01-01 17:00:00,8912.778906659556
18,0.0,0.13541899999999998,0.2502768000000001,2030-01-01 18:00:00,8764.24305169281
19,0.0,0.1454718,0.25989439999999997,2030-01-01 19:00:00,8524.990457732998
20,0.0,0.158536,0.26615740000000004,2030-01-01 20:00:00,8028.654911102616
21,0.0,0.171903,0.270629,2030-01-01 21:00:00,7541.4699184880665
22,0.0,0.17953380000000002,0.2736134,2030-01-01 22:00:00,7154.683173369947
23,0.0,0.18215,0.276365,2030-01-01 23:00:00,6737.507050275373
24,0.0,0.1913262,0.2819202,2030-01-02 00:00:00,6367.92570247925
25,0.0,0.2023104,0.287972,2030-01-02 01:00:00,6278.067767083743
26,0.0,0.20055399999999998,0.28413760000000005,2030-01-02 02:00:00,6288.079701618095
27,0.0,0.204605,0.2923816,2030-01-02 03:00:00,6259.7046473420705
28,0.0,0.21089539999999998,0.2999568,2030-01-02 04:00:00,6480.654877596429
29,0.0,0.21004,0.2998664,2030-01-02 05:00:00,7501.403208380525
30,0.0,0.2008372,0.2987638,2030-01-02 06:00:00,8532.027967425018
31,0.0,0.20320519999999997,0.30560899999999996,2030-01-02 07:00:00,9161.371966132849
32,0.007,0.1988448,0.30431939999999996,2030-01-02 08:00:00,9110.456584578218
33,0.028,0.18172379999999996,0.2999888,2030-01-02 09:00:00,8898.983014348454
34,0.052,0.1747184,0.3079508,2030-01-02 10:00:00,8626.326676502515
35,0.071,0.18641459999999999,0.328594,2030-01-02 11:00:00,8436.717428698561
36,0.065,0.22761599999999999,0.3714132,2030-01-02 12:00:00,8337.793866700986
37,0.03,0.254843,0.41391520000000004,2030-01-02 13:00:00,8270.37712675711
38,0.002,0.264247,0.4412188,2030-01-02 14:00:00,8242.825695030388
39,0.0,0.2893376,0.4717922,2030-01-02 15:00:00,8491.549848874605
40,0.0,0.3128664,0.5037256,2030-01-02 16:00:00,8837.598413687278
41,0.0,0.3394434,0.5351056,2030-01-02 17:00:00,8774.783529087274
42,0.0,0.3611206,0.5522425999999999,2030-01-02 18:00:00,8608.271565334802
43,0.0,0.3683926,0.5502646,2030-01-02 19:00:00,8354.298891323593
44,0.0,0.3676666,0.542931,2030-01-02 20:00:00,7957.246254811353
45,0.0,0.35369599999999995,0.5289164000000002,2030-01-02 21:00:00,7466.383133268035
46,0.0,0.34794939999999996,0.5190506,2030-01-02 22:00:00,7097.58975024686
47,0.0,0.34469140000000004,0.5118712000000001,2030-01-02 23:00:00,6675.7600906942625
48,0.0,0.3363691999999999,0.49618199999999996,2030-01-03 00:00:00,6685.51017106504
49,0.0,0.31958980000000003,0.4724044,2030-01-03 01:00:00,6558.581702819376
50,0.0,0.297042,0.44399639999999996,2030-01-03 02:00:00,6548.765598929347
51,0.0,0.2821904,0.4224705999999999,2030-01-03 03:00:00,6645.631129263695
52,0.0,0.26950280000000004,0.40414380000000005,2030-01-03 04:00:00,6926.516762010627
53,0.0,0.258149,0.3904376,2030-01-03 05:00:00,8067.65275787821
54,0.0,0.24647799999999997,0.3810894,2030-01-03 06:00:00,9106.427328202302
55,0.0,0.240132,0.3768852,2030-01-03 07:00:00,9720.54016816734
56,0.007,0.2324082,0.368753,2030-01-03 08:00:00,9678.194950622805
57,0.034,0.2113528,0.34577080000000004,2030-01-03 09:00:00,9477.589358548401
58,0.056,0.1885122,0.312703,2030-01-03 10:00:00,9250.849310206058
59,0.061,0.1689788,0.2811676,2030-01-03 11:00:00,9062.636194151919
60,0.045,0.156742,0.2612478,2030-01-03 12:00:00,8980.354144661576
61,0.02,0.1540302,0.2562586,2030-01-03 13:00:00,8877.72304484751
62,0.002,0.16263480000000002,0.2624288,2030-01-03 14:00:00,8926.140361603713
63,0.0,0.1833936,0.2798002,2030-01-03 15:00:00,9171.569385289582
64,0.0,0.1978952,0.292812,2030-01-03 16:00:00,9560.787675637304
65,0.0,0.2037246,0.2944178,2030-01-03 17:00:00,9594.446517161396
66,0.0,0.2102346,0.2918408,2030-01-03 18:00:00,9448.643749414325
67,0.0,0.21415299999999998,0.2873274,2030-01-03 19:00:00,9196.437082974824
68,0.0,0.22214240000000002,0.2848176,2030-01-03 20:00:00,8783.730689995667
69,0.0,0.2282248,0.2810126,2030-01-03 21:00:00,8225.847971385705
70,0.0,0.23185340000000002,0.2790288,2030-01-03 22:00:00,7841.88215695881
71,0.0,0.23848600000000003,0.2839264,2030-01-03 23:00:00,7388.160289274801
72,0.0,0.24113240000000005,0.2885448,2030-01-04 00:00:00,7640.911766175717
73,0.0,0.236497,0.285922,2030-01-04 01:00:00,7521.27829469479
74,0.0,0.2245398,0.27546599999999993,2030-01-04 02:00:00,7561.850470452479
75,0.0,0.212587,0.2648998,2030-01-04 03:00:00,7726.3274285856905
76,0.0,0.2011378,0.25318779999999996,2030-01-04 04:00:00,8063.364932481414
77,0.0,0.188087,0.2376898,2030-01-04 05:00:00,9341.284073724386
78,0.0,0.1749958,0.22256080000000003,2030-01-04 06:00:00,10506.33414551809
79,0.0,0.16333519999999999,0.2079936,2030-01-04 07:00:00,11235.762179551923
80,0.045,0.14791079999999998,0.18953440000000002,2030-01-04 08:00:00,11170.845384123733
81,0.146,0.12404180000000001,0.1641254,2030-01-04 09:00:00,10904.31113767589
82,0.224,0.10180719999999999,0.1414818,2030-01-04 10:00:00,10360.086223254311
83,0.24,0.0867048,0.1285238,2030-01-04 11:00:00,10101.478930215402
84,0.193,0.08068620000000001,0.1221314,2030-01-04 12:00:00,9991.112324655824
85,0.096,0.0811328,0.12242040000000001,2030-01-04 13:00:00,9877.586929168776
86,0.015,0.08598900000000001,0.12520840000000003,2030-01-04 14:00:00,9892.789186530143
87,0.0,0.0828626,0.12042840000000002,2030-01-04 15:00:00,10258.175712614697
88,0.0,0.07200500000000001,0.11348520000000002,2030-01-04 16:00:00,10730.781204854356
89,0.0,0.06456140000000002,0.11580059999999999,2030-01-04 17:00:00,10880.1284372033
90,0.0,0.0664166,0.1320112,2030-01-04 18:00:00,10795.557179275109
91,0.0,0.0774154,0.1540686,2030-01-04 19:00:00,10607.962019219352
92,0.0,0.09262019999999999,0.17221699999999998,2030-01-04 20:00:00,10168.73574555536
93,0.0,0.10509680000000002,0.1903086,2030-01-04 21:00:00,9602.015763043226
94,0.0,0.1144266,0.21064080000000002,2030-01-04 22:00:00,8844.67436689148
95,0.0,0.12403339999999999,0.2290456,2030-01-04 23:00:00,8337.610690768423
96,0.0,0.1318268,0.24372619999999995,2030-01-05 00:00:00,7632.23540282117
97,0.0,0.13529280000000002,0.26057600000000003,2030-01-05 01:00:00,7474.553879772244
98,0.0,0.1642924,0.2912876,2030-01-05 02:00:00,7195.90348166747
99,0.0,0.1903946,0.32971500000000004,2030-01-05 03:00:00,7125.614667508316
100,0.0,0.2169966,0.3659198,2030-01-05 04:00:00,7357.328255073802
101,0.0,0.2485294,0.3988826,2030-01-05 05:00:00,8283.544015499094
102,0.0,0.27098140000000004,0.4132014,2030-01-05 06:00:00,9280.90993369033
103,0.0,0.285571,0.4228948,2030-01-05 07:00:00,9873.093965862288
104,0.026,0.2988522,0.4374888,2030-01-05 08:00:00,9647.5875853388
105,0.065,0.31046640000000003,0.4521752,2030-01-05 09:00:00,9356.961234278639
106,0.066,0.324633,0.4611794000000001,2030-01-05 10:00:00,8911.948951247403
