hour,value,Technology
1,37938.199687695065,curtailment
2,40184.86175492806,curtailment
3,41240.279688951494,curtailment
4,40163.12326256272,curtailment
5,37537.15839201881,curtailment
6,33828.00975793965,curtailment
7,30608.12228221002,curtailment
8,28140.204764581187,curtailment
9,27188.31412569563,curtailment
10,26731.902369194686,curtailment
11,26531.79313584512,curtailment
12,25141.328237014903,curtailment
13,22482.996272454096,curtailment
14,20295.62283255432,curtailment
15,19397.823877287334,curtailment
16,20205.445753788954,curtailment
17,22250.00862289516,curtailment
18,24188.38924252744,curtailment
19,25413.000379905487,curtailment
20,26965.611049514886,curtailment
21,28317.20795321912,curtailment
22,29415.024701268994,curtailment
23,30209.354475933844,curtailment
24,31002.282978099858,curtailment
25,32130.47008844055,curtailment
26,33046.74837841684,curtailment
27,32513.119303923384,curtailment
28,33667.27667142259,curtailment
29,34480.778913163405,curtailment
30,33447.68575934251,curtailment
31,32266.492395426612,curtailment
32,32571.913691536254,curtailment
33,32469.862573784463,curtailment
34,32159.3742646968,curtailment
35,33598.635313598264,curtailment
36,36670.03831797774,curtailment
37,42596.4237202654,curtailment
38,48352.12704710393,curtailment
39,52015.64375829678,curtailment
40,55935.34416818693,curtailment
41,59950.049718012924,curtailment
42,64298.047643484286,curtailment
43,66804.75023092741,curtailment
44,66788.61162212017,curtailment
45,66184.20414554974,curtailment
46,64761.26464616904,curtailment
47,63782.806313300185,curtailment
48,63224.23306897669,curtailment
49,61072.00071439178,curtailment
50,57951.91298529446,curtailment
51,54082.3957614256,curtailment
52,51046.014835897215,curtailment
53,48262.4621364377,curtailment
54,45249.63793805924,curtailment
55,42934.29395719744,curtailment
56,41746.06491135504,curtailment
57,40701.03338499575,curtailment
58,37852.48898781836,curtailment
59,33636.28449603279,curtailment
60,29534.62092828787,curtailment
61,26843.81157841919,curtailment
62,26182.491439389552,curtailment
63,26917.164149805314,curtailment
64,29037.32391848403,curtailment
65,30424.968110329104,curtailment
66,30610.59374704055,curtailment
67,30404.48712357266,curtailment
68,30040.353919500092,curtailment
69,30110.32760387571,curtailment
70,30148.607981169054,curtailment
71,30261.67047767114,curtailment
72,31384.19771377362,curtailment
73,31762.124673965118,curtailment
74,31523.594408046512,curtailment
75,30055.174116439517,curtailment
76,28447.800375436498,curtailment
77,26511.39818783505,curtailment
78,23117.106619331906,curtailment
79,19886.073939974696,curtailment
80,17167.381457471092,curtailment
81,14860.297857018724,curtailment
82,11990.889748144615,curtailment
83,9700.782979826054,curtailment
84,8242.762393028286,curtailment
85,7324.839170430478,curtailment
86,7157.197512600074,curtailment
87,7254.973880489568,curtailment
88,6187.258873722878,curtailment
89,4766.50542452407,curtailment
90,4933.344068938461,curtailment
91,7231.5988259854985,curtailment
92,10431.303495464965,curtailment
93,13348.834928432649,curtailment
94,16386.103588517388,curtailment
95,19919.965017288792,curtailment
96,22940.347266726993,curtailment
97,25650.47265505079,curtailment
98,28109.12540824868,curtailment
99,32581.683629107596,curtailment
100,37899.53276145606,curtailment
101,42611.866177018026,curtailment
102,46186.97710682965,curtailment
103,47144.954685312376,curtailment
104,47876.479808283264,curtailment
105,50180.85305087728,curtailment
106,52605.93553518785,curtailment
107,54283.84684060628,curtailment
108,53785.77693681606,curtailment
109,51797.48001567123,curtailment
110,53492.93207373957,curtailment
111,59083.05597554477,curtailment
112,66762.71100257745,curtailment
113,73305.67168860923,curtailment
114,75387.60735557824,curtailment
115,76611.07713573326,curtailment
116,77340.225592011,curtailment
117,76565.32768182526,curtailment
118,75561.7833010884,curtailment
119,74391.54613765232,curtailment
120,73894.07401732824,curtailment
121,73618.67358556323,curtailment
122,73756.79439531165,curtailment
123,73207.17502933323,curtailment
124,71790.37197087749,curtailment
125,69468.0728679736,curtailment
126,65431.00710619867,curtailment
127,60960.47256831105,curtailment
128,56665.47809374345,curtailment
129,52554.65958362258,curtailment
130,47268.088351069106,curtailment
131,41555.18201436766,curtailment
132,35930.58400593088,curtailment
133,30797.73974208906,curtailment
134,26312.71605251012,curtailment
135,22157.24100196849,curtailment
136,18026.675678621024,curtailment
137,12818.104901042958,curtailment
138,7293.19647852691,curtailment
139,2443.4215366434873,curtailment
140,0.0,curtailment
141,0.0,curtailment
142,0.0,curtailment
143,1985.761858232765,curtailment
144,4867.937740153928,curtailment
145,7178.727993898028,curtailment
146,8453.087849817723,curtailment
147,9455.554670568776,curtailment
148,10057.904762312373,curtailment
149,11364.339260586683,curtailment
150,12889.303090718526,curtailment
151,13816.106430542251,curtailment
152,13088.301385237339,curtailment
153,11478.490559077301,curtailment
154,8827.325952239524,curtailment
155,6091.317966296709,curtailment
156,3719.0774668367612,curtailment
157,2232.942864206143,curtailment
158,1082.1868534665937,curtailment
159,87.97343080075916,curtailment
160,0.0,curtailment
161,0.0,curtailment
162,0.0,curtailment
163,0.0,curtailment
164,0.0,curtailment
165,0.0,curtailment
166,0.0,curtailment
167,0.0,curtailment
168,0.0,curtailment
169,0.0,curtailment
170,0.0,curtailment
171,0.0,curtailment
172,0.0,curtailment
173,0.0,curtailment
174,0.0,curtailment
175,0.0,curtailment
176,0.0,curtailment
177,0.0,curtailment
178,0.0,curtailment
179,0.0,curtailment
180,0.0,curtailment
181,0.0,curtailment
182,0.0,curtailment
183,0.0,curtailment
184,0.0,curtailment
185,571.5829074882513,curtailment
186,2481.353420811127,curtailment
187,4356.997233264472,curtailment
188,6243.518939926544,curtailment
189,8108.5148565224845,curtailment
190,9137.368269030878,curtailment
191,9221.456142679981,curtailment
192,8986.669469912576,curtailment
193,8380.752091519877,curtailment
194,7876.659113956386,curtailment
195,8124.166059381297,curtailment
196,9208.488511302992,curtailment
197,10539.536602597507,curtailment
198,11735.886892556877,curtailment
199,13435.239714512414,curtailment
200,15343.891060745742,curtailment
201,17458.824792987845,curtailment
202,19038.60322325454,curtailment
203,20450.34640674227,curtailment
204,21743.171319373778,curtailment
205,22396.572383411843,curtailment
206,22803.656097574116,curtailment
207,23224.51212469414,curtailment
208,23478.627100789097,curtailment
209,22744.629681523,curtailment
210,21778.25251554328,curtailment
211,20336.71116842424,curtailment
212,18919.421333382612,curtailment
213,17822.667803760538,curtailment
214,17339.31964095002,curtailment
215,16949.028845062443,curtailment
216,15660.848390791447,curtailment
217,14010.720846275051,curtailment
218,12822.219765369033,curtailment
219,12460.26532176128,curtailment
220,12789.03135250615,curtailment
221,13172.279838076058,curtailment
222,12678.365968716362,curtailment
223,12411.412180317115,curtailment
224,12363.341917801878,curtailment
225,12706.348881970056,curtailment
226,12562.48185332405,curtailment
227,11503.974838008415,curtailment
228,9642.287283711586,curtailment
229,7586.470143497578,curtailment
230,6044.9466960092195,curtailment
231,4997.188220785434,curtailment
232,4508.540181853958,curtailment
233,4154.43620744647,curtailment
234,3918.8177994149846,curtailment
235,3894.5975303638133,curtailment
236,3941.4455831666655,curtailment
237,3753.095011787351,curtailment
238,3147.6336826169936,curtailment
239,2421.0420941659195,curtailment
240,2377.6621991102456,curtailment
241,2949.6401181316287,curtailment
242,3922.462497466993,curtailment
243,5836.8021228076195,curtailment
244,8227.087203330459,curtailment
245,10594.47704700912,curtailment
246,12650.492220340922,curtailment
247,15545.582231502662,curtailment
248,19960.43804574181,curtailment
249,26317.33889135538,curtailment
250,33596.0858724556,curtailment
251,42600.028509463475,curtailment
252,51490.74202705927,curtailment
253,59878.34830632611,curtailment
254,66544.03321981306,curtailment
255,71710.6003192238,curtailment
256,76879.69688536318,curtailment
257,81292.24092512252,curtailment
258,84126.05035701404,curtailment
259,85915.92528874223,curtailment
260,88575.50450199317,curtailment
261,90967.54089443185,curtailment
262,92333.1340138628,curtailment
263,94527.32737056585,curtailment
264,96658.48175576315,curtailment
265,99039.44963883082,curtailment
266,103534.04818567015,curtailment
267,105145.8740072751,curtailment
268,104155.88185245842,curtailment
269,99415.29112306861,curtailment
270,92027.42422584581,curtailment
271,84313.6757110107,curtailment
272,79156.37644232638,curtailment
273,75099.86875269141,curtailment
274,73075.09421378325,curtailment
275,74039.37981139476,curtailment
276,75182.46628835819,curtailment
277,76916.22470223474,curtailment
278,80163.67791285405,curtailment
279,83001.5129563492,curtailment
280,86176.48530822508,curtailment
281,89531.83308281786,curtailment
282,93751.02035345964,curtailment
283,97602.50963454891,curtailment
284,99950.82713912916,curtailment
285,101386.22341847725,curtailment
286,101760.94226391804,curtailment
287,102582.59573232997,curtailment
288,102515.5750650943,curtailment
