hour,value,Technology
1,0.0,curtailment
2,0.0,curtailment
3,0.0,curtailment
4,0.0,curtailment
5,0.0,curtailment
6,0.0,curtailment
7,0.0,curtailment
8,0.0,curtailment
9,0.0,curtailment
10,0.0,curtailment
11,0.0,curtailment
12,0.0,curtailment
13,0.0,curtailment
14,0.0,curtailment
15,0.0,curtailment
16,0.0,curtailment
17,0.0,curtailment
18,0.0,curtailment
19,0.0,curtailment
20,0.0,curtailment
21,0.0,curtailment
22,0.0,curtailment
23,0.0,curtailment
24,0.0,curtailment
25,0.0,curtailment
26,0.0,curtailment
27,0.0,curtailment
28,0.0,curtailment
29,0.0,curtailment
30,0.0,curtailment
31,0.0,curtailment
32,0.0,curtailment
33,0.0,curtailment
34,0.0,curtailment
35,0.0,curtailment
36,0.0,curtailment
37,0.0,curtailment
38,0.0,curtailment
39,0.0,curtailment
40,0.0,curtailment
41,0.0,curtailment
42,0.0,curtailment
43,0.0,curtailment
44,0.0,curtailment
45,0.0,curtailment
46,0.0,curtailment
47,0.0,curtailment
48,0.0,curtailment
49,0.0,curtailment
50,0.0,curtailment
51,0.0,curtailment
52,0.0,curtailment
53,0.0,curtailment
54,0.0,curtailment
55,0.0,curtailment
56,0.0,curtailment
57,0.0,curtailment
58,0.0,curtailment
59,0.0,curtailment
60,0.0,curtailment
61,0.0,curtailment
62,0.0,curtailment
63,0.0,curtailment
64,0.0,curtailment
65,0.0,curtailment
66,0.0,curtailment
67,0.0,curtailment
68,0.0,curtailment
69,0.0,curtailment
70,0.0,curtailment
71,0.0,curtailment
72,0.0,curtailment
73,0.0,curtailment
74,0.0,curtailment
75,0.0,curtailment
76,0.0,curtailment
77,0.0,curtailment
78,0.0,curtailment
79,0.0,curtailment
80,0.0,curtailment
81,0.0,curtailment
82,0.0,curtailment
83,0.0,curtailment
84,0.0,curtailment
85,0.0,curtailment
86,0.0,curtailment
87,0.0,curtailment
88,0.0,curtailment
89,0.0,curtailment
90,0.0,curtailment
91,0.0,curtailment
92,0.0,curtailment
93,0.0,curtailment
94,0.0,curtailment
95,0.0,curtailment
96,0.0,curtailment
97,0.0,curtailment
98,0.0,curtailment
99,0.0,curtailment
100,0.0,curtailment
101,0.0,curtailment
102,0.0,curtailment
103,0.0,curtailment
104,0.0,curtailment
105,0.0,curtailment
106,0.0,curtailment
107,0.0,curtailment
108,0.0,curtailment
109,0.0,curtailment
110,0.0,curtailment
111,0.0,curtailment
112,0.0,curtailment
113,0.0,curtailment
114,0.0,curtailment
115,0.0,curtailment
116,0.0,curtailment
117,0.0,curtailment
118,0.0,curtailment
119,0.0,curtailment
120,0.0,curtailment
121,0.0,curtailment
122,0.0,curtailment
123,0.0,curtailment
124,0.0,curtailment
125,0.0,curtailment
126,0.0,curtailment
127,0.0,curtailment
128,0.0,curtailment
129,0.0,curtailment
130,0.0,curtailment
131,0.0,curtailment
132,0.0,curtailment
133,0.0,curtailment
134,0.0,curtailment
135,0.0,curtailment
136,0.0,curtailment
137,0.0,curtailment
138,0.0,curtailment
139,0.0,curtailment
140,0.0,curtailment
141,0.0,curtailment
142,0.0,curtailment
143,0.0,curtailment
144,0.0,curtailment
145,0.0,curtailment
146,0.0,curtailment
147,0.0,curtailment
148,0.0,curtailment
149,0.0,curtailment
150,0.0,curtailment
151,0.0,curtailment
152,0.0,curtailment
153,0.0,curtailment
154,0.0,curtailment
155,0.0,curtailment
156,0.0,curtailment
157,0.0,curtailment
158,0.0,curtailment
159,0.0,curtailment
160,0.0,curtailment
161,0.0,curtailment
162,0.0,curtailment
163,0.0,curtailment
164,0.0,curtailment
165,0.0,curtailment
166,0.0,curtailment
167,0.0,curtailment
168,0.0,curtailment
169,0.0,curtailment
170,0.0,curtailment
171,0.0,curtailment
172,0.0,curtailment
173,0.0,curtailment
174,0.0,curtailment
175,0.0,curtailment
176,0.0,curtailment
177,0.0,curtailment
178,0.0,curtailment
179,0.0,curtailment
180,0.0,curtailment
181,0.0,curtailment
182,0.0,curtailment
183,0.0,curtailment
184,0.0,curtailment
185,0.0,curtailment
186,0.0,curtailment
187,0.0,curtailment
188,0.0,curtailment
189,0.0,curtailment
190,0.0,curtailment
191,0.0,curtailment
192,0.0,curtailment
193,0.0,curtailment
194,0.0,curtailment
195,0.0,curtailment
196,0.0,curtailment
197,0.0,curtailment
198,0.0,curtailment
199,0.0,curtailment
200,0.0,curtailment
201,0.0,curtailment
202,0.0,curtailment
203,0.0,curtailment
204,0.0,curtailment
205,0.0,curtailment
206,0.0,curtailment
207,0.0,curtailment
208,0.0,curtailment
209,0.0,curtailment
210,0.0,curtailment
211,0.0,curtailment
212,0.0,curtailment
213,0.0,curtailment
214,0.0,curtailment
215,0.0,curtailment
216,0.0,curtailment
217,0.0,curtailment
218,0.0,curtailment
219,0.0,curtailment
220,0.0,curtailment
221,0.0,curtailment
222,0.0,curtailment
223,0.0,curtailment
224,0.0,curtailment
225,0.0,curtailment
226,0.0,curtailment
227,0.0,curtailment
228,0.0,curtailment
229,0.0,curtailment
230,0.0,curtailment
231,0.0,curtailment
232,0.0,curtailment
233,0.0,curtailment
234,0.0,curtailment
235,0.0,curtailment
236,0.0,curtailment
237,0.0,curtailment
238,0.0,curtailment
239,0.0,curtailment
240,0.0,curtailment
241,0.0,curtailment
242,0.0,curtailment
