Onshore turbines,Offshore trubines fixed,Utility scale PV,"Biogas, Basic plant, large",CCS
0.0,44745.122051538914,0.0,0.0,0.0
0.0,46842.89530957772,0.0,0.0,0.0
0.0,47843.754568441786,0.0,0.0,0.0
0.0,46752.2209456791,0.0,0.0,0.0
0.0,44193.72905974699,0.0,0.0,0.0
0.0,41408.16890229288,0.0,0.0,0.0
0.0,39199.34686003365,0.0,0.0,0.0
0.0,37486.393417456144,0.0,0.0,0.0
0.0,36343.92374388897,241.30055992381213,0.0,0.0
0.0,35152.457139950064,720.5961926491924,0.0,0.0
0.0,34307.13718903859,958.5912654507605,0.0,0.0
0.0,32710.066675985734,942.0638298395405,0.0,0.0
0.0,30204.313403513937,707.3742441602164,0.0,0.0
0.0,28325.551508156765,360.2980963245962,0.0,0.0
0.0,27783.17132964392,46.27681971141603,0.0,0.0
0.0,28950.713011060172,0.0,0.0,0.0
0.0,31320.26355679631,0.0,0.0,0.0
0.0,33101.168149187,0.0,0.0,0.0
0.0,34177.2434315983,0.0,0.0,0.0
0.0,35490.601507247884,0.0,0.0,0.0
0.0,36345.86286432174,0.0,0.0,0.0
0.0,36956.49461975706,0.0,0.0,0.0
0.0,37364.03764930379,0.0,0.0,0.0
0.0,37739.79002837523,0.0,0.0,0.0
0.0,38498.3957909198,0.0,0.0,0.0
0.0,39324.81614550059,0.0,0.0,0.0
0.0,38801.19900554148,0.0,0.0,0.0
0.0,39926.98131876466,0.0,0.0,0.0
0.0,40961.43379075984,0.0,0.0,0.0
0.0,40949.08896772303,0.0,0.0,0.0
0.0,40798.52036285163,0.0,0.0,0.0
0.0,41733.285657669105,0.0,0.0,0.0
0.0,41557.18074850697,23.138409855708016,0.0,0.0
0.0,40965.80363962242,92.55363942283206,0.0,0.0
0.0,42053.07665974409,171.8853303566881,0.0,0.0
0.0,44872.066160996976,234.68958567932413,0.0,0.0
0.0,50719.360924020526,214.85666294586014,0.0,0.0
0.0,56523.33956019372,99.16461366732005,0.0,0.0
0.0,60251.85847908268,6.610974244488004,0.0,0.0
0.0,64426.89401706153,0.0,0.0,0.0
0.0,68787.6481317002,0.0,0.0,0.0
0.0,73072.83117257156,0.0,0.0,0.0
0.0,75413.02179626221,0.0,0.0,0.0
0.0,75142.91051344376,0.0,0.0,0.0
0.0,74141.4504003611,0.0,0.0,0.0
0.0,72227.64777943707,0.0,0.0,0.0
0.0,70880.39606354704,0.0,0.0,0.0
0.0,69899.99315967095,0.0,0.0,0.0
0.0,67757.51088545682,0.0,0.0,0.0
0.0,64510.49468811384,0.0,0.0,0.0
0.0,60631.16136035495,0.0,0.0,0.0
0.0,57691.64596516091,0.0,0.0,0.0
0.0,55188.97889844833,0.0,0.0,0.0
0.0,53317.29069593745,0.0,0.0,0.0
0.0,52040.72128539974,0.0,0.0,0.0
0.0,51466.60507952238,0.0,0.0,0.0
0.0,50356.08992576285,23.138409855708016,0.0,0.0
0.0,47217.69178421047,112.38656215629608,0.0,0.0
0.0,42702.02652739319,185.10727884566413,0.0,0.0
0.0,38395.622407982904,201.63471445688413,0.0,0.0
0.0,35675.41880257979,148.74692050098008,0.0,0.0
0.0,34994.10474179218,66.10974244488004,0.0,0.0
0.0,35836.69353716454,6.610974244488004,0.0,0.0
0.0,38208.89330377361,0.0,0.0,0.0
0.0,39985.75578596641,0.0,0.0,0.0
0.0,40205.04026420195,0.0,0.0,0.0
0.0,39853.130872986985,0.0,0.0,0.0
0.0,39236.791002474914,0.0,0.0,0.0
0.0,38894.05829387138,0.0,0.0,0.0
0.0,38374.45595255476,0.0,0.0,0.0
0.0,38103.55263462995,0.0,0.0,0.0
0.0,38772.35800304842,0.0,0.0,0.0
0.0,39403.03644014084,0.0,0.0,0.0
0.0,39044.872702741304,0.0,0.0,0.0
0.0,37617.024586891996,0.0,0.0,0.0
0.0,36174.12780402219,0.0,0.0,0.0
0.0,34574.763120316464,0.0,0.0,0.0
0.0,32458.39069305629,0.0,0.0,0.0
0.0,30392.408085492785,0.0,0.0,0.0
0.0,28403.143637023015,0.0,0.0,0.0
0.0,25882.396320641477,148.74692050098008,0.0,0.0
0.0,22412.599765972882,482.60111984762426,0.0,0.0
0.0,19320.44008769771,740.4291153826565,0.0,0.0
0.0,17550.92441390513,793.3169093385604,0.0,0.0
0.0,16677.99248049321,637.9590145930924,0.0,0.0
0.0,16717.457678033425,317.3267637354242,0.0,0.0
0.0,17098.18076018605,49.58230683366003,0.0,0.0
0.0,16445.434586337575,0.0,0.0,0.0
0.0,15497.286629378426,0.0,0.0,0.0
0.0,15813.472506141761,0.0,0.0,0.0
0.0,18027.156005260607,0.0,0.0,0.0
0.0,21039.265514684317,0.0,0.0,0.0
0.0,23517.570673988008,0.0,0.0,0.0
0.0,25988.119351560614,0.0,0.0,0.0
0.0,28764.63938418027,0.0,0.0,0.0
0.0,31277.957957495415,0.0,0.0,0.0
0.0,33282.70805787196,0.0,0.0,0.0
0.0,35583.679288020925,0.0,0.0,0.0
0.0,39777.587110775065,0.0,0.0,0.0
0.0,45025.147428964374,0.0,0.0,0.0
0.0,49969.19443209183,0.0,0.0,0.0
0.0,54470.52112232874,0.0,0.0,0.0
0.0,56425.86461900271,0.0,0.0,0.0
0.0,57749.57377414555,0.0,0.0,0.0
0.0,59742.49797103774,85.94266517834404,0.0,0.0
0.0,61748.040106520624,214.85666294586014,0.0,0.0
0.0,62977.63364178558,218.16215006810415,0.0,0.0
0.0,62187.04604787798,148.74692050098008,0.0,0.0
0.0,60009.60498276319,122.30302352302807,0.0,0.0
0.0,61653.869863531945,82.63717805610005,0.0,0.0
0.0,67442.44478246452,16.52743561122001,0.0,0.0
0.0,75404.20016387088,0.0,0.0,0.0
0.0,82351.30395094064,0.0,0.0,0.0
0.0,84495.28836070126,0.0,0.0,0.0
0.0,85552.16361967257,0.0,0.0,0.0
0.0,86078.04761872916,0.0,0.0,0.0
