hour,value,Technology
1,54067.98928955464,curtailment
2,55935.290581494184,curtailment
3,57053.65144066546,curtailment
4,58191.429739821615,curtailment
5,59340.811994157906,curtailment
6,59237.642535008046,curtailment
7,58533.48829947008,curtailment
8,58078.644560949826,curtailment
9,58463.285596142785,curtailment
10,59084.267176173365,curtailment
11,59594.00248154483,curtailment
12,59911.20017621625,curtailment
13,59986.502726253035,curtailment
14,59945.717475890066,curtailment
15,59721.753125915864,curtailment
16,58971.58150022074,curtailment
17,57967.552553349975,curtailment
18,57351.043275909055,curtailment
19,56694.54693520082,curtailment
20,56211.787507203684,curtailment
21,56045.06279979432,curtailment
22,56606.57267772745,curtailment
23,57170.60375546807,curtailment
24,57597.98928593862,curtailment
25,57180.2515844963,curtailment
26,56454.586677281404,curtailment
27,55355.54475661457,curtailment
28,53963.090354409884,curtailment
29,52248.92738082282,curtailment
30,49411.96088366085,curtailment
31,46242.49840920494,curtailment
32,42782.83365841236,curtailment
33,39821.33382891962,curtailment
34,37734.83929314661,curtailment
35,35999.70620860951,curtailment
36,35301.1290787973,curtailment
37,34619.326525202836,curtailment
38,33954.97671051799,curtailment
39,32912.945849714466,curtailment
40,30559.096578386947,curtailment
41,26978.165240760303,curtailment
42,23306.08343441249,curtailment
43,20111.81714052012,curtailment
44,17662.58408731765,curtailment
45,16051.587161843334,curtailment
46,15762.321707313338,curtailment
47,16775.53326942692,curtailment
48,18584.432615438156,curtailment
49,19557.979117517913,curtailment
50,19726.449367019075,curtailment
51,19439.242369176332,curtailment
52,18556.4352543023,curtailment
53,17286.93112245092,curtailment
54,15236.622610965373,curtailment
55,13005.507306996104,curtailment
56,10899.89804932594,curtailment
57,9095.305736964687,curtailment
58,7806.329135551332,curtailment
59,6809.732244834262,curtailment
60,5921.813634739822,curtailment
61,5873.998110826775,curtailment
62,7414.723000160295,curtailment
63,8077.093156645935,curtailment
64,6986.321868419747,curtailment
65,6353.770802535513,curtailment
66,7376.938614019604,curtailment
67,8828.895455796102,curtailment
68,10546.452180305057,curtailment
69,12144.974443769663,curtailment
70,14184.256139219113,curtailment
71,16699.63515825455,curtailment
72,19448.408080046178,curtailment
73,22376.093555632913,curtailment
74,25507.79986000122,curtailment
75,28703.04288007627,curtailment
76,30617.759032666654,curtailment
77,30915.954648308176,curtailment
