hour,value,Technology
1,17133.742574754193,curtailment
2,23927.38628018452,curtailment
3,24566.98280559271,curtailment
4,25151.354102783538,curtailment
5,25723.24229540646,curtailment
6,25412.619632049536,curtailment
7,24729.27790894217,curtailment
8,24285.023290967925,curtailment
9,0.0,curtailment
10,19395.769852664365,curtailment
11,21061.229765463933,curtailment
12,21555.3552817385,curtailment
13,21199.185788857118,curtailment
14,19775.798827156355,curtailment
15,0.0,curtailment
16,0.0,curtailment
17,0.0,curtailment
18,2628.586808999038,curtailment
19,16484.6963714297,curtailment
20,16396.03934473379,curtailment
21,16507.889308202775,curtailment
22,16914.406781549565,curtailment
23,17290.342758185725,curtailment
24,17670.898009358,curtailment
25,17322.351067467338,curtailment
26,17106.94568548691,curtailment
27,16669.68552501617,curtailment
28,16150.387038677849,curtailment
29,15411.89457528734,curtailment
30,13750.37149063899,curtailment
31,11972.829774991573,curtailment
32,10228.083728272824,curtailment
33,0.0,curtailment
34,13043.77866372584,curtailment
35,14086.918415995287,curtailment
36,13969.64436803426,curtailment
37,12308.055963170318,curtailment
38,9641.322690040695,curtailment
39,0.0,curtailment
40,4620.982011046898,curtailment
41,2835.4381883260794,curtailment
42,1314.2321557926225,curtailment
43,170.04511556137095,curtailment
44,0.0,curtailment
45,0.0,curtailment
46,0.0,curtailment
47,94.86165461395831,curtailment
48,965.4968777068407,curtailment
49,1295.837233463998,curtailment
50,1554.7785474213297,curtailment
51,1600.3250942546038,curtailment
52,1392.670099013072,curtailment
53,898.1620113641757,curtailment
54,0.0,curtailment
55,0.0,curtailment
56,0.0,curtailment
57,0.0,curtailment
58,0.0,curtailment
59,0.0,curtailment
60,0.0,curtailment
61,0.0,curtailment
62,0.0,curtailment
63,0.0,curtailment
64,0.0,curtailment
65,0.0,curtailment
66,0.0,curtailment
67,0.0,curtailment
68,0.0,curtailment
69,0.0,curtailment
70,242.64554429238615,curtailment
71,1418.513572233821,curtailment
72,2625.714670151039,curtailment
73,3974.464461173695,curtailment
74,5160.723930320282,curtailment
75,6353.806656699064,curtailment
76,6836.839690197758,curtailment
77,6513.619783483644,curtailment
78,5679.806993752223,curtailment
79,5030.518248988369,curtailment
80,4547.205855621356,curtailment
81,0.0,curtailment
82,0.0,curtailment
83,7358.904731510311,curtailment
84,8170.938240800475,curtailment
85,7815.145735980235,curtailment
86,0.0,curtailment
87,0.0,curtailment
88,7287.435062263521,curtailment
89,7011.376525000094,curtailment
90,0.0,curtailment
91,0.0,curtailment
92,0.0,curtailment
93,0.0,curtailment
94,8613.075886999564,curtailment
95,8746.782321880146,curtailment
96,8868.57728104165,curtailment
97,8485.07963933824,curtailment
98,8262.131030856213,curtailment
99,8023.52176487515,curtailment
100,7422.9381501145945,curtailment
101,6622.075543348517,curtailment
102,4846.492108649106,curtailment
103,2785.410234871966,curtailment
104,1115.4544803206436,curtailment
105,0.0,curtailment
106,0.0,curtailment
107,0.0,curtailment
108,0.0,curtailment
109,0.0,curtailment
110,0.0,curtailment
111,0.0,curtailment
112,0.0,curtailment
113,0.0,curtailment
114,0.0,curtailment
115,0.0,curtailment
116,0.0,curtailment
117,0.0,curtailment
118,0.0,curtailment
119,0.0,curtailment
120,0.0,curtailment
121,0.0,curtailment
122,0.0,curtailment
123,0.0,curtailment
124,0.0,curtailment
125,0.0,curtailment
126,0.0,curtailment
127,0.0,curtailment
128,0.0,curtailment
129,0.0,curtailment
130,0.0,curtailment
131,0.0,curtailment
132,0.0,curtailment
133,0.0,curtailment
134,0.0,curtailment
135,0.0,curtailment
136,0.0,curtailment
137,0.0,curtailment
138,0.0,curtailment
139,0.0,curtailment
140,0.0,curtailment
141,0.0,curtailment
142,0.0,curtailment
143,0.0,curtailment
144,0.0,curtailment
145,0.0,curtailment
146,0.0,curtailment
147,0.0,curtailment
148,0.0,curtailment
149,0.0,curtailment
150,0.0,curtailment
151,0.0,curtailment
152,0.0,curtailment
153,0.0,curtailment
154,0.0,curtailment
155,642.8077535480825,curtailment
156,0.0,curtailment
157,0.0,curtailment
158,0.0,curtailment
159,4755.820142908951,curtailment
160,5762.333225720516,curtailment
161,7045.049092968536,curtailment
162,8786.448494352877,curtailment
163,9715.922486972373,curtailment
164,10396.5357617419,curtailment
165,11077.341804918167,curtailment
166,11516.850298807698,curtailment
167,11489.369394162277,curtailment
168,11494.63042241387,curtailment
169,10954.820038836884,curtailment
170,9576.113542707042,curtailment
171,8997.463446386284,curtailment
172,9520.854879752114,curtailment
173,9979.97443125836,curtailment
174,8883.747634328392,curtailment
