hour,value,Technology
1,92157.91112466573,curtailment
2,95383.01348552191,curtailment
3,99568.37963548664,curtailment
4,104762.43005526705,curtailment
5,109523.03767601869,curtailment
6,111962.23805663793,curtailment
7,116492.78454128672,curtailment
8,120383.56759876251,curtailment
9,120747.42142458516,curtailment
10,119192.57999630371,curtailment
11,119147.92692743335,curtailment
12,119899.90309979182,curtailment
13,120479.28596247542,curtailment
14,121845.41342730766,curtailment
15,124664.92598928076,curtailment
16,126718.09884539436,curtailment
17,129870.615466208,curtailment
18,135279.84217524473,curtailment
19,139787.9467453478,curtailment
20,143406.12716712503,curtailment
21,146952.66798566456,curtailment
22,150155.56221417984,curtailment
23,152517.49184999405,curtailment
24,154917.12824636442,curtailment
25,156581.63920396037,curtailment
26,157596.97809639003,curtailment
27,158446.83294423844,curtailment
28,159721.8271010712,curtailment
29,160319.9120155613,curtailment
30,159836.74170008267,curtailment
31,159376.67456857764,curtailment
32,159230.58972907753,curtailment
33,159382.13091404093,curtailment
34,159755.9259381329,curtailment
35,160131.404226158,curtailment
36,160187.67654690155,curtailment
37,160390.36480121067,curtailment
38,160145.5617623888,curtailment
39,159559.88790889012,curtailment
40,158368.13545309124,curtailment
41,157193.38764050955,curtailment
42,157081.70487500165,curtailment
43,157288.68487606515,curtailment
44,157538.2085752431,curtailment
45,157696.68199943693,curtailment
46,158355.81719276335,curtailment
47,159062.06372844122,curtailment
48,159336.14624514387,curtailment
49,159771.0171650985,curtailment
50,159430.3215241862,curtailment
51,157668.6229899592,curtailment
52,154599.61935420963,curtailment
53,151060.5709558268,curtailment
54,146602.94123637292,curtailment
55,141786.86332332873,curtailment
56,137604.29542088453,curtailment
57,134789.7285653555,curtailment
58,132684.61032729244,curtailment
59,130356.48684939068,curtailment
60,128872.5712372339,curtailment
61,126560.4088443986,curtailment
62,124563.38480135666,curtailment
63,121917.40219680607,curtailment
64,118455.36451545307,curtailment
65,114964.61735986176,curtailment
66,111978.70750859242,curtailment
67,109790.11850479392,curtailment
68,110668.6732200287,curtailment
69,112042.34441284853,curtailment
70,112737.84394272766,curtailment
71,114076.21348118328,curtailment
72,114615.03632639657,curtailment
73,115349.14127750322,curtailment
74,116758.14214485396,curtailment
75,117617.71691306072,curtailment
76,116363.79596628442,curtailment
77,114948.33049255697,curtailment
78,113945.19610679122,curtailment
79,113090.04342442547,curtailment
80,111306.88752978438,curtailment
81,109528.78014372762,curtailment
82,106764.36327957548,curtailment
83,104336.59864249236,curtailment
84,102514.09457924259,curtailment
85,101294.13120587022,curtailment
86,99807.33519783872,curtailment
87,97236.89605849315,curtailment
88,93155.86696409095,curtailment
89,89191.47202964185,curtailment
90,87708.19052665275,curtailment
91,89091.9619497536,curtailment
92,91432.30764088205,curtailment
93,92716.88348904603,curtailment
94,93326.10463149584,curtailment
95,91316.2972944745,curtailment
96,85235.65713338819,curtailment
97,78766.79394546122,curtailment
98,71965.91994302296,curtailment
99,67581.07408675386,curtailment
100,63952.38156708796,curtailment
101,58549.4261807348,curtailment
102,51859.75984410907,curtailment
103,43795.67973648492,curtailment
