hour,value,Technology
1,5984.808429641928,curtailment
2,6526.056412043723,curtailment
3,6984.650180840116,curtailment
4,15036.5784711793,curtailment
5,15595.657652600312,curtailment
6,15417.379097269693,curtailment
7,15729.719301172308,curtailment
8,16152.567783510116,curtailment
9,0.0,curtailment
10,0.0,curtailment
11,0.0,curtailment
12,0.0,curtailment
13,0.0,curtailment
14,0.0,curtailment
15,9496.711790815732,curtailment
16,9644.306291582381,curtailment
17,9953.309004416014,curtailment
18,10749.199393243442,curtailment
19,11556.433516136904,curtailment
20,12581.698157383875,curtailment
21,13600.587011542219,curtailment
22,14522.485606275672,curtailment
23,15215.171597079816,curtailment
24,15928.910546353483,curtailment
25,16225.145344232733,curtailment
26,21650.660356231536,curtailment
27,24523.01221518007,curtailment
28,24760.970040362707,curtailment
29,24752.999326854624,curtailment
30,24089.27066777847,curtailment
31,23339.09776638889,curtailment
32,22792.90266937407,curtailment
33,0.0,curtailment
34,0.0,curtailment
35,0.0,curtailment
36,0.0,curtailment
37,0.0,curtailment
38,0.0,curtailment
39,0.0,curtailment
40,22259.020072765234,curtailment
41,21739.13883530317,curtailment
42,21762.14373023684,curtailment
43,21808.726855116718,curtailment
44,21933.15549438424,curtailment
45,22246.361990763024,curtailment
46,22707.522682993265,curtailment
47,23158.96261456742,curtailment
48,23705.286928227368,curtailment
49,23932.316938985314,curtailment
50,24058.276254125565,curtailment
51,23712.252927120673,curtailment
52,22933.51892312068,curtailment
53,17572.683675869914,curtailment
54,12409.934766097618,curtailment
55,10618.230532229769,curtailment
56,9149.515050310134,curtailment
57,0.0,curtailment
58,0.0,curtailment
59,0.0,curtailment
60,0.0,curtailment
61,0.0,curtailment
62,0.0,curtailment
63,0.0,curtailment
64,0.0,curtailment
65,0.0,curtailment
66,5329.995399474517,curtailment
67,5494.1161452383385,curtailment
68,6001.443914320388,curtailment
69,6536.109250713309,curtailment
70,10455.330089292958,curtailment
71,15089.931377097351,curtailment
72,15335.448742851338,curtailment
73,15400.538653499096,curtailment
74,0.0,curtailment
75,0.0,curtailment
76,0.0,curtailment
77,0.0,curtailment
78,0.0,curtailment
79,0.0,curtailment
80,13048.655990810039,curtailment
81,0.0,curtailment
82,4905.053211446278,curtailment
83,4672.55893708946,curtailment
84,4456.805127851123,curtailment
85,4375.649854829609,curtailment
86,0.0,curtailment
87,0.0,curtailment
88,3754.590834530168,curtailment
89,2838.0482744702517,curtailment
90,2490.665601244895,curtailment
91,2347.091795168849,curtailment
92,2362.657280095103,curtailment
93,2519.3811691766045,curtailment
94,2864.545961822553,curtailment
95,3252.0219639894603,curtailment
96,3645.3973602791293,curtailment
97,3727.054713090203,curtailment
98,3490.5678624115817,curtailment
99,3249.8366631879967,curtailment
100,2687.6451428858695,curtailment
101,1761.3536966581626,curtailment
102,39.131245538820316,curtailment
103,0.0,curtailment
104,0.0,curtailment
105,0.0,curtailment
106,0.0,curtailment
107,0.0,curtailment
108,0.0,curtailment
109,0.0,curtailment
110,0.0,curtailment
111,0.0,curtailment
112,0.0,curtailment
113,0.0,curtailment
114,0.0,curtailment
115,0.0,curtailment
116,0.0,curtailment
117,0.0,curtailment
118,0.0,curtailment
119,0.0,curtailment
120,0.0,curtailment
121,0.0,curtailment
122,0.0,curtailment
123,0.0,curtailment
124,0.0,curtailment
125,0.0,curtailment
126,0.0,curtailment
127,0.0,curtailment
128,38.29337483488283,curtailment
129,0.0,curtailment
130,0.0,curtailment
131,0.0,curtailment
132,0.0,curtailment
133,0.0,curtailment
134,0.0,curtailment
135,3067.296377784472,curtailment
136,3885.765468456222,curtailment
137,4428.095196668391,curtailment
138,5476.779778911961,curtailment
139,6535.418074440269,curtailment
140,6845.155965800895,curtailment
141,6925.630170479351,curtailment
142,6564.561121202709,curtailment
143,5799.2888442724125,curtailment
144,4826.691707753083,curtailment
145,4030.276444911604,curtailment
146,4098.560114633229,curtailment
147,4160.663663101991,curtailment
148,4009.4388723972015,curtailment
149,3751.0693060801605,curtailment
150,3076.0246450118125,curtailment
151,2547.3370040984137,curtailment
152,2162.813739720664,curtailment
153,0.0,curtailment
154,1826.4014389743065,curtailment
155,1628.8683194350947,curtailment
156,1598.5121809094187,curtailment
157,1875.8555690304095,curtailment
158,0.0,curtailment
159,0.0,curtailment
160,2038.4809000892494,curtailment
161,1976.5713890602924,curtailment
162,2905.437338798772,curtailment
163,3993.6812547003974,curtailment
164,5264.286373464341,curtailment
165,6821.304320774605,curtailment
166,8425.482519312527,curtailment
167,9955.031970020173,curtailment
168,11581.82469099453,curtailment
169,12587.062355346428,curtailment
170,20680.85222012371,curtailment
171,20801.672141344567,curtailment
172,13808.21741337855,curtailment
173,12113.487668261885,curtailment
174,10170.279623148666,curtailment
175,8340.800781822625,curtailment
176,7288.772048114228,curtailment
177,0.0,curtailment
178,0.0,curtailment
179,0.0,curtailment
180,0.0,curtailment
181,0.0,curtailment
182,0.0,curtailment
183,3101.304834746016,curtailment
184,2707.1287971577362,curtailment
185,2213.845792455697,curtailment
186,2254.9020816909515,curtailment
187,2642.3383464347476,curtailment
188,3933.6973072977003,curtailment
189,5324.248746538598,curtailment
