Onshore turbines,Offshore trubines fixed,Utility scale PV,"Biogas, Basic plant, large",CCS
0.0,96943.14345651615,0.0,0.0,0.0
0.0,100019.84332547811,0.0,0.0,0.0
0.0,104117.60213400733,0.0,0.0,0.0
0.0,109259.58754435158,0.0,0.0,0.0
0.0,114062.9132163278,0.0,0.0,0.0
0.0,117169.61091759276,0.0,0.0,0.0
0.0,122521.68412144574,0.0,0.0,0.0
0.0,126962.46162109183,0.0,0.0,0.0
0.0,127340.93541606338,0.0,0.0,0.0
0.0,125686.59271926203,0.0,0.0,0.0
0.0,125554.6914955316,0.0,0.0,0.0
0.0,126169.68138020558,0.0,0.0,0.0
0.0,126746.40171909255,0.0,0.0,0.0
0.0,128106.49794411633,0.0,0.0,0.0
0.0,130941.05283951122,0.0,0.0,0.0
0.0,133214.64140634757,0.0,0.0,0.0
0.0,136740.75960045305,0.0,0.0,0.0
0.0,142105.84101762736,0.0,0.0,0.0
0.0,146541.81337251092,0.0,0.0,0.0
0.0,150000.38496024074,0.0,0.0,0.0
0.0,153246.74076178134,0.0,0.0,0.0
0.0,156069.69466482106,0.0,0.0,0.0
0.0,158132.16576427105,0.0,0.0,0.0
0.0,160184.9922517334,0.0,0.0,0.0
0.0,161805.4586779591,0.0,0.0,0.0
0.0,162659.33290225422,0.0,0.0,0.0
0.0,163399.42816306598,0.0,0.0,0.0
0.0,164625.90704122983,0.0,0.0,0.0
0.0,165338.64729935798,0.0,0.0,0.0
0.0,165664.47043671762,0.0,0.0,0.0
0.0,166066.83266565125,0.0,0.0,0.0
0.0,166478.66789425956,0.0,0.0,0.0
0.0,166646.19583415764,0.0,0.0,0.0
0.0,166944.97287099698,0.0,0.0,0.0
0.0,167170.0252581946,0.0,0.0,0.0
0.0,167106.39141255416,0.0,0.0,0.0
0.0,167233.76207122282,0.0,0.0,0.0
0.0,166986.29711595437,0.0,0.0,0.0
0.0,166421.89854113694,0.0,0.0,0.0
0.0,165525.08691614275,0.0,0.0,0.0
0.0,164730.4532622767,0.0,0.0,0.0
0.0,164530.18169306847,0.0,0.0,0.0
0.0,164571.5059380259,0.0,0.0,0.0
0.0,164577.51236897902,0.0,0.0,0.0
0.0,164367.699155171,0.0,0.0,0.0
0.0,164608.36826284675,0.0,0.0,0.0
0.0,164953.89249373262,0.0,0.0,0.0
0.0,164864.82570331355,0.0,0.0,0.0
0.0,165351.62119021674,0.0,0.0,0.0
0.0,164880.06487670317,0.0,0.0,0.0
0.0,163050.19710622047,0.0,0.0,0.0
0.0,160029.68310851709,0.0,0.0,0.0
0.0,156756.21256153102,0.0,0.0,0.0
0.0,153320.77431358633,0.0,0.0,0.0
0.0,149403.62030320166,0.0,0.0,0.0
0.0,145737.7753638954,0.0,0.0,0.0
0.0,142823.69532268125,0.0,0.0,0.0
0.0,140509.12573551334,0.0,0.0,0.0
0.0,137868.90462329873,0.0,0.0,0.0
0.0,136135.07110314074,0.0,0.0,0.0
0.0,133741.3882397046,0.0,0.0,0.0
0.0,131662.16777851112,0.0,0.0,0.0
0.0,128994.69463100065,0.0,0.0,0.0
0.0,125822.06347910178,0.0,0.0,0.0
0.0,122784.01070301529,0.0,0.0,0.0
0.0,119729.10559779749,0.0,0.0,0.0
0.0,117374.17279462461,0.0,0.0,0.0
0.0,117996.09581674164,0.0,0.0,0.0
0.0,118940.6156647349,0.0,0.0,0.0
0.0,119133.9197740375,0.0,0.0,0.0
0.0,120102.22508860509,0.0,0.0,0.0
0.0,120253.4155363107,0.0,0.0,0.0
0.0,120904.61561901633,0.0,0.0,0.0
0.0,122205.64288592401,0.0,0.0,0.0
0.0,123031.78456044699,0.0,0.0,0.0
0.0,121834.37680809622,0.0,0.0,0.0
0.0,120693.94434364358,0.0,0.0,0.0
0.0,120726.61932802854,0.0,0.0,0.0
0.0,120825.2964079726,0.0,0.0,0.0
0.0,119556.0860638851,0.0,0.0,0.0
0.0,117564.83407430784,0.0,0.0,0.0
0.0,114523.55498673796,0.0,0.0,0.0
0.0,111794.57598626758,0.0,0.0,0.0
0.0,109730.28579630042,0.0,0.0,0.0
0.0,108405.19848311765,0.0,0.0,0.0
0.0,106803.57508885342,0.0,0.0,0.0
0.0,104216.8626958154,0.0,0.0,0.0
0.0,100481.72070454148,0.0,0.0,0.0
0.0,96986.87027385482,0.0,0.0,0.0
0.0,95450.01336649648,0.0,0.0,0.0
0.0,96650.7503977184,0.0,0.0,0.0
0.0,98717.58044991722,0.0,0.0,0.0
0.0,99560.67742095927,0.0,0.0,0.0
0.0,99646.6208672827,0.0,0.0,0.0
0.0,97239.79250067494,0.0,0.0,0.0
0.0,90734.5875212113,0.0,0.0,0.0
0.0,84010.37090796573,0.0,0.0,0.0
0.0,77044.3182233164,0.0,0.0,0.0
0.0,72601.17247375165,0.0,0.0,0.0
0.0,68995.42616643915,0.0,0.0,0.0
0.0,63831.611669888145,0.0,0.0,0.0
0.0,58162.707813873916,0.0,0.0,0.0
0.0,51033.692076850864,0.0,0.0,0.0
0.0,43958.73421840587,0.0,0.0,0.0
0.0,38104.763644110455,0.0,0.0,0.0
0.0,34467.61228352882,0.0,0.0,0.0
0.0,30829.088024443594,0.0,0.0,0.0
0.0,27722.356000716045,0.0,0.0,0.0
0.0,24830.413947871955,0.0,0.0,0.0
0.0,22141.72951848133,0.0,0.0,0.0
0.0,19783.467436437317,0.0,0.0,0.0
0.0,18332.725587715366,0.0,0.0,0.0
0.0,17701.26092099855,0.0,0.0,0.0
0.0,17364.454595610343,0.0,0.0,0.0
0.0,17177.3628520364,0.0,0.0,0.0
0.0,17514.169177424603,0.0,0.0,0.0
0.0,18527.78014261001,0.0,0.0,0.0
0.0,20301.87391138518,0.0,0.0,0.0
0.0,22777.38152563404,0.0,0.0,0.0
0.0,25629.13197478613,0.0,0.0,0.0
0.0,28324.33767206871,0.0,0.0,0.0
0.0,30806.88139114836,0.0,0.0,0.0
0.0,34150.30111689131,0.0,0.0,0.0
0.0,38488.59174324592,0.0,0.0,0.0
0.0,44465.882925624464,0.0,0.0,0.0
0.0,52160.25826641746,0.0,0.0,0.0
0.0,60249.71947407517,0.0,0.0,0.0
0.0,67096.53592368952,0.0,0.0,0.0
0.0,73944.38204718153,0.0,0.0,0.0
0.0,78270.14497469105,0.0,0.0,0.0
0.0,81331.81160503894,0.0,0.0,0.0
0.0,82789.72684844203,0.0,0.0,0.0
0.0,85342.15110135337,0.0,0.0,0.0
0.0,90868.17054560862,0.0,0.0,0.0
0.0,96290.74208761989,0.0,0.0,0.0
0.0,104223.48693109513,0.0,0.0,0.0
0.0,111892.22339233398,0.0,0.0,0.0
0.0,118423.06725135178,0.0,0.0,0.0
0.0,120582.84253224224,0.0,0.0,0.0
0.0,117443.12662196641,0.0,0.0,0.0
0.0,114676.8391046615,0.0,0.0,0.0
0.0,108318.56858754242,0.0,0.0,0.0
0.0,99782.36620682315,0.0,0.0,0.0
0.0,97974.19023269687,0.0,0.0,0.0
0.0,99174.3437820548,0.0,0.0,0.0
0.0,98123.80184712338,0.0,0.0,0.0
0.0,92234.30752404808,0.0,0.0,0.0
0.0,84810.3931884583,0.0,0.0,0.0
0.0,78129.14829837448,0.0,0.0,0.0
0.0,75381.22329855482,0.0,0.0,0.0
0.0,76776.25979049444,0.0,0.0,0.0
0.0,78995.72183382757,0.0,0.0,0.0
0.0,80420.10403128098,0.0,0.0,0.0
0.0,79653.44318442518,0.0,0.0,0.0
0.0,77854.01943825911,0.0,0.0,0.0
0.0,77145.3978756417,0.0,0.0,0.0
0.0,77350.06272006134,0.0,0.0,0.0
0.0,77032.88884327418,0.0,0.0,0.0
0.0,79274.24861773924,0.0,0.0,0.0
0.0,85071.03796936097,0.0,0.0,0.0
0.0,92471.40709561457,0.0,0.0,0.0
0.0,99703.18428562979,0.0,0.0,0.0
0.0,105484.18530446048,0.0,0.0,0.0
0.0,111222.28324505461,0.0,0.0,0.0
0.0,116827.48461050325,0.0,0.0,0.0
0.0,123082.82206231721,0.0,0.0,0.0
0.0,129084.55083805928,0.0,0.0,0.0
0.0,135809.41957809404,0.0,0.0,0.0
0.0,139434.90130139532,0.0,0.0,0.0
0.0,141401.3381505206,0.0,0.0,0.0
0.0,141158.81562986504,0.0,0.0,0.0
0.0,139072.35312906525,0.0,0.0,0.0
0.0,135884.8946733278,0.0,0.0,0.0
0.0,131609.13957381074,0.0,0.0,0.0
0.0,126513.86703505048,0.0,0.0,0.0
0.0,122203.85811786939,0.0,0.0,0.0
0.0,118811.87210756267,0.0,0.0,0.0
0.0,117335.21679958583,0.0,0.0,0.0
0.0,109962.99209265546,0.0,0.0,0.0
0.0,103567.03551161336,0.0,0.0,0.0
0.0,102134.5532129889,0.0,0.0,0.0
0.0,99760.09092860275,0.0,0.0,0.0
0.0,97723.4646434825,0.0,0.0,0.0
0.0,97420.32865389432,0.0,0.0,0.0
0.0,97554.97567463192,0.0,0.0,0.0
0.0,97194.48685005713,0.0,0.0,0.0
0.0,98734.70735874925,0.0,0.0,0.0
0.0,105645.43223370472,0.0,0.0,0.0
0.0,112289.23131710371,0.0,0.0,0.0
0.0,117006.06438335506,0.0,0.0,0.0
0.0,121300.83412714652,0.0,0.0,0.0
0.0,123086.97508029049,0.0,0.0,0.0
0.0,122945.90975904869,0.0,0.0,0.0
0.0,126352.27688118033,0.0,0.0,0.0
0.0,131439.00312675588,0.0,0.0,0.0
0.0,131266.05223776872,0.0,0.0,0.0
0.0,129821.07656276178,0.0,0.0,0.0
0.0,135851.3616273781,0.0,0.0,0.0
0.0,142664.0615491787,0.0,0.0,0.0
0.0,145797.59941618846,0.0,0.0,0.0
0.0,151756.87130570764,0.0,0.0,0.0
0.0,151129.28507726343,0.0,0.0,0.0
0.0,155880.61221841694,0.0,0.0,0.0
0.0,157193.85828200643,0.0,0.0,0.0
0.0,157544.4279148929,0.0,0.0,0.0
0.0,156112.80367783314,0.0,0.0,0.0
0.0,156059.98140790832,0.0,0.0,0.0
0.0,156743.44460544782,0.0,0.0,0.0
0.0,155694.27556901998,0.0,0.0,0.0
0.0,153491.42559758003,0.0,0.0,0.0
0.0,149976.7024610542,0.0,0.0,0.0
0.0,142464.71668646042,0.0,0.0,0.0
0.0,130323.72902738117,0.0,0.0,0.0
0.0,117875.79558536634,0.0,0.0,0.0
0.0,103019.9354579409,0.0,0.0,0.0
0.0,84548.78737860313,0.0,0.0,0.0
0.0,71359.3171323478,0.0,0.0,0.0
0.0,66942.87425867749,0.0,0.0,0.0
0.0,66081.75799477607,0.0,0.0,0.0
0.0,81368.05612553318,0.0,0.0,0.0
0.0,95847.02129126621,0.0,0.0,0.0
0.0,107444.753012483,0.0,0.0,0.0
0.0,121855.34783273825,0.0,0.0,0.0
0.0,132881.13003736796,0.0,0.0,0.0
0.0,142837.35566279176,0.0,0.0,0.0
0.0,151670.82489199645,0.0,0.0,0.0
0.0,159381.84662714522,0.0,0.0,0.0
0.0,163030.39304530647,0.0,0.0,0.0
0.0,164957.73660954263,0.0,0.0,0.0
0.0,165552.78514345223,0.0,0.0,0.0
0.0,165592.35894281763,0.0,0.0,0.0
0.0,165324.74670200935,0.0,0.0,0.0
0.0,163010.5546619299,0.0,0.0,0.0
0.0,161369.76933785132,0.0,0.0,0.0
0.0,161895.65810964367,0.0,0.0,0.0
0.0,162565.6669018482,0.0,0.0,0.0
0.0,163214.9792491114,0.0,0.0,0.0
0.0,163547.32365436302,0.0,0.0,0.0
0.0,163904.82642469252,0.0,0.0,0.0
0.0,164453.29937686856,0.0,0.0,0.0
0.0,165020.10052406727,0.0,0.0,0.0
0.0,165311.53255391246,0.0,0.0,0.0
0.0,165161.78364963562,0.0,0.0,0.0
0.0,164870.14568501487,0.0,0.0,0.0
0.0,164309.042066606,0.0,0.0,0.0
0.0,163783.73677667766,0.0,0.0,0.0
0.0,163098.5574560087,0.0,0.0,0.0
0.0,162320.70748634878,0.0,0.0,0.0
0.0,161942.57691600313,0.0,0.0,0.0
0.0,161993.477128023,0.0,0.0,0.0
0.0,161921.91479352443,0.0,0.0,0.0
0.0,161850.86729596468,0.0,0.0,0.0
0.0,161937.08532198885,0.0,0.0,0.0
0.0,161728.30178205855,0.0,0.0,0.0
0.0,161143.30972968755,0.0,0.0,0.0
0.0,159912.23164153672,0.0,0.0,0.0
0.0,157341.71945084084,0.0,0.0,0.0
0.0,153608.46519500934,0.0,0.0,0.0
0.0,146657.51439389924,0.0,0.0,0.0
0.0,137454.6324998466,0.0,0.0,0.0
